date,n_eventos
2023-01-01,39145
2023-01-02,34021
2023-01-03,36577
2023-01-04,26822
2023-01-05,74683
2023-01-06,72229
2023-01-07,76302
2023-01-08,19140
2023-01-09,18075
2023-01-10,49383
2023-01-11,66933
2023-01-12,15507
2023-01-13,18447
2023-01-14,79765
2023-01-15,146952
2023-01-16,34630
2023-01-17,53224
2023-01-18,64251
2023-01-19,34318
2023-01-20,12150
2023-01-21,15396
2023-01-22,19085
2023-01-23,8798
2023-01-24,18473
2023-01-25,22400
2023-01-26,22918
2023-01-27,30421
2023-01-28,32021
2023-01-29,29693
2023-01-30,27340
2023-01-31,37635
2023-02-01,31435
2023-02-02,15443
2023-02-03,19591
2023-02-04,15877
2023-02-05,10123
2023-02-06,6341
2023-02-07,9029
2023-02-08,11575
2023-02-09,16089
2023-02-10,15423
2023-02-11,15908
2023-02-12,29389
2023-02-13,27944
2023-02-14,35722
2023-02-15,61842
2023-02-16,31627
2023-02-17,53706
2023-02-18,121644
2023-02-19,76840
2023-02-20,51958
2023-02-21,33951
2023-02-22,46117
2023-02-23,57198
2023-02-24,36515
2023-02-25,72286
2023-02-26,53111
2023-02-27,99944
2023-02-28,56744
2023-03-01,23120
2023-03-02,16149
2023-03-03,46246
2023-03-04,32882
2023-03-05,29839
2023-03-06,16245
2023-03-07,24333
2023-03-08,57101
2023-03-09,88910
2023-03-10,39402
2023-03-11,25159
2023-03-12,11074
2023-03-13,8887
2023-03-14,25134
2023-03-15,22001
2023-03-16,31218
2023-03-17,49122
2023-03-18,85857
2023-03-19,167514
2023-03-20,74846
2023-03-21,184675
2023-03-22,59794
2023-03-23,48673
2023-03-24,64267
2023-03-25,37117
2023-03-26,36116
2023-03-27,23265
2023-03-28,20012
2023-03-29,33773
2023-03-30,50731
2023-03-31,52936
2023-04-01,18527
2023-04-02,32518
2023-04-03,32603
2023-04-04,64367
2023-04-05,29658
2023-04-06,43328
2023-04-07,35025
2023-04-08,47225
2023-04-09,13881
2023-04-10,27512
2023-04-11,21613
2023-04-12,29331
2023-04-13,41032
2023-04-14,47928
2023-04-15,53362
2023-04-16,24508
2023-04-17,27609
2023-04-18,27828
2023-04-19,64913
2023-04-20,83094
2023-04-21,14803
2023-04-22,17947
2023-04-23,30495
2023-04-24,15019
2023-04-25,23187
2023-04-26,17437
2023-04-27,20003
2023-04-28,16101
2023-04-29,4678
2023-04-30,13747
2023-05-01,23396
2023-05-02,28019
2023-05-03,17928
2023-05-04,10078
2023-05-05,9751
2023-05-06,13959
2023-05-07,5986
2023-05-08,6597
2023-05-09,6940
2023-05-10,4173
2023-05-11,6351
2023-05-12,5953
2023-05-13,4000
2023-05-14,5204
2023-05-15,2062
2023-05-16,2040
2023-05-17,562
2023-05-18,2183
2023-05-19,2702
2023-05-20,4799
2023-05-21,3760
2023-05-22,13630
2023-05-23,33135
2023-05-24,6530
2023-05-25,3984
2023-05-26,3349
2023-05-27,12996
2023-05-28,7399
2023-05-29,5868
2023-05-30,3883
2023-05-31,4650
2023-06-01,2291
2023-06-02,641
2023-06-03,1548
2023-06-04,16120
2023-06-05,1659
2023-06-06,2245
2023-06-07,1891
2023-06-08,725
2023-06-09,862
2023-06-10,1868
2023-06-11,4528
2023-06-12,2169
2023-06-13,2195
2023-06-14,669
2023-06-15,52
2023-06-16,45
2023-06-17,7
2023-06-19,1
2023-06-20,3
2023-06-21,110
2023-06-22,374
2023-06-23,2661
2023-06-24,2146
2023-06-25,4418
2023-06-26,2398
2023-06-27,1308
2023-06-28,950
2023-06-29,2230
2023-06-30,1091
2023-07-01,51
2023-07-02,77
2023-07-03,122
2023-07-04,558
2023-07-05,918
2023-07-06,2199
2023-07-07,1609
2023-07-08,5922
2023-07-09,6934
2023-07-10,5109
2023-07-11,1303
2023-07-12,408
2023-07-13,1429
2023-07-14,5119
2023-07-15,1456
2023-07-16,485
2023-07-17,1082
2023-07-18,4054
2023-07-19,9715
2023-07-20,1446
2023-07-21,261
2023-07-22,53
2023-07-23,120
2023-07-24,261
2023-07-25,867
2023-07-26,1075
2023-07-27,8596
2023-07-28,6750
2023-07-29,1384
2023-07-30,2285
2023-07-31,764
2023-08-01,1002
2023-08-02,1394
2023-08-03,3011
2023-08-04,2255
2023-08-05,1092
2023-08-06,523
2023-08-07,2491
2023-08-08,7907
2023-08-09,2826
2023-08-10,5689
2023-08-11,10879
2023-08-12,5535
2023-08-13,685
2023-08-14,512
2023-08-15,65
2023-08-16,57
2023-08-17,541
2023-08-18,943
2023-08-19,2202
2023-08-20,3258
2023-08-21,6667
2023-08-22,8144
2023-08-23,3281
2023-08-24,6993
2023-08-25,5400
2023-08-26,3304
2023-08-27,9344
2023-08-28,9938
2023-08-29,10717
2023-08-30,9676
2023-08-31,5743
2023-09-01,9660
2023-09-02,8420
2023-09-03,12252
2023-09-04,26321
2023-09-05,23880
2023-09-06,6704
2023-09-07,1172
2023-09-08,3870
2023-09-09,9394
2023-09-10,20460
2023-09-11,6166
2023-09-12,8903
2023-09-13,18209
2023-09-14,22400
2023-09-15,8112
2023-09-16,3949
2023-09-17,7395
2023-09-18,10965
2023-09-19,15851
2023-09-20,8827
2023-09-21,6946
2023-09-22,6328
2023-09-23,13525
2023-09-24,7670
2023-09-25,10924
2023-09-26,7442
2023-09-27,12430
2023-09-28,26397
2023-09-29,47726
2023-09-30,21860
2023-10-01,12104
2023-10-02,3682
2023-10-03,6242
2023-10-04,9800
2023-10-05,22433
2023-10-06,13797
2023-10-07,18211
2023-10-08,34735
2023-10-09,50150
2023-10-10,19535
2023-10-11,21763
2023-10-12,34107
2023-10-13,58832
2023-10-14,19059
2023-10-15,24281
2023-10-16,9511
2023-10-17,14349
2023-10-18,27556
2023-10-19,25109
2023-10-20,27138
2023-10-21,21592
2023-10-22,26373
2023-10-23,14748
2023-10-24,20189
2023-10-25,24507
2023-10-26,20492
2023-10-27,32066
2023-10-28,49095
2023-10-29,96118
2023-10-30,21045
2023-10-31,78459
2023-11-01,54384
2023-11-02,52195
2023-11-03,41398
2023-11-04,82185
2023-11-05,51784
2023-11-06,12848
2023-11-07,32858
2023-11-08,51193
2023-11-09,30650
2023-11-10,19384
2023-11-11,10116
2023-11-12,18855
2023-11-13,28307
2023-11-14,38799
2023-11-15,42499
2023-11-16,14825
2023-11-17,13000
2023-11-18,20750
2023-11-19,44495
2023-11-20,82941
2023-11-21,76701
2023-11-22,41902
2023-11-23,91064
2023-11-24,59010
2023-11-25,18186
2023-11-26,9370
