month,mes,n_eventos,porcentaje_anual,dias_con_datos,promedio_diario,eventos_con_energia,eventos_sin_energia,porcentaje_con_energia,porcentaje_sin_energia,energia_media_j,energia_mediana_j,energia_max_j,residual_promedio_km,nstations_promedio
1,Enero,1179699,13.37445781362291,31,38054.8064516129,1179699,0,100.0,0.0,3107.1616778771536,652.86,35688382.38,12.999945240268916,7.173876556647077
2,Febrero,1780972,20.191196975875734,29,61412.8275862069,1780972,0,100.0,0.0,2045.9565596651717,445.73,36843722.96,12.80665069411535,7.433184800210222
3,Marzo,1164087,13.197461787190507,31,37551.1935483871,1164087,0,100.0,0.0,3647.774184927759,848.75,58340255.51,12.752560418594143,7.571900553824586
4,Abril,678590,7.693295770994442,30,22619.666666666668,678590,0,100.0,0.0,2670.2593342076952,553.01,66867950.37,11.902051017551099,7.930034335902386
5,Mayo,149533,1.6952822713628433,30,4984.433333333333,149533,0,100.0,0.0,2865.469363551858,664.76,2537327.53,11.517536597272843,7.330020798084703
6,Junio,72780,0.8251198311395327,29,2509.655172413793,72780,0,100.0,0.0,1369.1648764770541,389.85,6225364.22,11.608378675460292,6.790162132453971
7,Julio,48323,0.5478464633162358,30,1610.7666666666667,48323,0,100.0,0.0,922.1460379115535,391.09,306701.22,10.93692237650808,6.527678331229435
8,Agosto,188448,2.1364685619480994,31,6078.967741935484,188448,0,100.0,0.0,892.3081325883002,423.53499999999997,643302.1,10.24423607573442,6.360216080828663
9,Septiembre,386609,4.383055135985485,30,12886.966666666667,386609,0,100.0,0.0,76957.3479439175,460.47,5327926339.03,10.964130685007332,6.7772969589430145
10,Octubre,749131,8.493031660090535,31,24165.516129032258,749131,0,100.0,0.0,1628.171155245211,763.69,2897492.48,11.886421066542434,7.34388244512642
11,Noviembre,1287975,14.602002122999993,30,42932.5,1287975,0,100.0,0.0,2120.2529921465866,693.34,73427502.28,11.498188396513907,7.6147790135678095
12,Diciembre,1134390,12.860781605473681,31,36593.22580645161,1134390,0,100.0,0.0,2116.834905156075,510.31,2331236.82,11.761181516057087,7.6657789649062495
