archivo,global,peru,fecha,anio,mes
AE20230101.mat,567975,39145,2023-01-01,2023,1
AE20230107.mat,660296,76302,2023-01-07,2023,1
AE20230113.mat,718916,18447,2023-01-13,2023,1
AE20230119.mat,591101,34318,2023-01-19,2023,1
AE20230125.mat,620200,22400,2023-01-25,2023,1
AE20230131.mat,675778,37635,2023-01-31,2023,1
AE20230206.mat,658850,6341,2023-02-06,2023,2
AE20230212.mat,622313,29389,2023-02-12,2023,2
AE20230218.mat,664697,121644,2023-02-18,2023,2
AE20230224.mat,662659,36515,2023-02-24,2023,2
AE20230302.mat,754798,16149,2023-03-02,2023,3
AE20230308.mat,738539,57101,2023-03-08,2023,3
AE20230314.mat,713655,25134,2023-03-14,2023,3
AE20230320.mat,684859,74846,2023-03-20,2023,3
AE20230326.mat,791467,36116,2023-03-26,2023,3
AE20230401.mat,760430,18527,2023-04-01,2023,4
AE20230407.mat,798390,35025,2023-04-07,2023,4
AE20230413.mat,805071,41032,2023-04-13,2023,4
AE20230419.mat,764898,64913,2023-04-19,2023,4
AE20230425.mat,770574,23187,2023-04-25,2023,4
AE20230501.mat,812812,23396,2023-05-01,2023,5
AE20230507.mat,716208,5986,2023-05-07,2023,5
AE20230513.mat,862895,4000,2023-05-13,2023,5
AE20230519.mat,778919,2702,2023-05-19,2023,5
AE20230525.mat,778417,3984,2023-05-25,2023,5
AE20230531.mat,758932,4650,2023-05-31,2023,5
AE20230606.mat,810800,2245,2023-06-06,2023,6
AE20230612.mat,646380,2169,2023-06-12,2023,6
AE20230618.mat,674907,0,2023-06-18,2023,6
AE20230624.mat,788725,2146,2023-06-24,2023,6
AE20230630.mat,705799,1091,2023-06-30,2023,6
AE20230706.mat,731129,2199,2023-07-06,2023,7
AE20230712.mat,700164,408,2023-07-12,2023,7
AE20230718.mat,702148,4054,2023-07-18,2023,7
AE20230724.mat,690533,261,2023-07-24,2023,7
AE20230730.mat,703784,2285,2023-07-30,2023,7
AE20230805.mat,677726,1092,2023-08-05,2023,8
AE20230811.mat,708085,10879,2023-08-11,2023,8
AE20230817.mat,646328,541,2023-08-17,2023,8
AE20230823.mat,734219,3281,2023-08-23,2023,8
AE20230829.mat,714185,10717,2023-08-29,2023,8
AE20230904.mat,784582,26321,2023-09-04,2023,9
AE20230910.mat,775170,20460,2023-09-10,2023,9
AE20230916.mat,786600,3949,2023-09-16,2023,9
AE20230922.mat,804589,6328,2023-09-22,2023,9
AE20230928.mat,775381,26397,2023-09-28,2023,9
AE20231004.mat,821077,9800,2023-10-04,2023,10
AE20231010.mat,770681,19535,2023-10-10,2023,10
AE20231016.mat,809354,9511,2023-10-16,2023,10
AE20231022.mat,723421,26373,2023-10-22,2023,10
AE20231028.mat,791108,49095,2023-10-28,2023,10
AE20231103.mat,783218,41398,2023-11-03,2023,11
AE20231109.mat,720378,30650,2023-11-09,2023,11
AE20231115.mat,717005,42499,2023-11-15,2023,11
AE20231121.mat,726227,76701,2023-11-21,2023,11
AE20231127.mat,634301,29155,2023-11-27,2023,11
AE20231203.mat,671062,42587,2023-12-03,2023,12
AE20231209.mat,617741,18796,2023-12-09,2023,12
AE20231215.mat,638020,30382,2023-12-15,2023,12
AE20231221.mat,649936,94310,2023-12-21,2023,12
AE20231227.mat,679227,8315,2023-12-27,2023,12
