fecha,anio,mes,mes_nombre,temporada,season,valor,fase_enso,categoria,n_rayos_norm,media,anomalia,anomalia_pct,z,z_log
2021-01-01,2021,1,Ene,lluviosa,DJF,-0.87,Neutral,Neutra,289128.0,324141.6,-35013.59999999998,-10.8,-0.507,-0.403
2021-02-01,2021,2,Feb,lluviosa,JFM,-0.69,Neutral,Neutra,239600.0,277924.0,-38324.0,-13.8,-0.635,-0.546
2021-03-01,2021,3,Mar,lluviosa,FMA,-0.82,Neutral,Neutra,224561.0,202040.2,22520.79999999999,11.1,0.486,0.494
2021-04-01,2021,4,Abr,lluviosa,MAM,-0.91,Neutral,Neutra,77685.0,81589.4,-3904.399999999994,-4.8,-0.137,0.005
2021-05-01,2021,5,May,seca,AMJ,-0.8,Neutral,Neutra,31597.0,19433.120000000003,12163.879999999997,62.6,1.347,1.103
2021-06-01,2021,6,Jun,seca,MJJ,-0.37,Neutral,Neutra,7122.0,3124.5,3997.5,127.9,1.415,1.263
2021-07-01,2021,7,Jul,seca,JJA,-0.13,Neutral,Neutra,5198.7,3344.2599999999998,1854.44,55.5,0.641,0.78
2021-08-01,2021,8,Ago,seca,JAS,-0.08,Neutral,Neutra,12802.0,7453.12,5348.88,71.8,1.537,1.356
2021-09-01,2021,9,Set,seca,ASO,-0.25,Neutral,Neutra,36138.0,32182.96,3955.040000000001,12.3,0.554,0.566
2021-10-01,2021,10,Oct,lluviosa,SON,-0.51,Neutral,Neutra,112195.0,88403.0,23792.0,26.9,1.064,0.939
2021-11-01,2021,11,Nov,lluviosa,OND,-1.07,La Nina,Fria debil,259286.0,171515.0,87771.0,51.2,1.273,1.191
2021-12-01,2021,12,Dic,lluviosa,NDJ,-1.25,La Nina,Fria moderada,311259.0,322980.6,-11721.599999999977,-3.6,-0.125,0.01
2022-01-01,2022,1,Ene,lluviosa,DJF,-1.48,La Nina,Fria fuerte,380949.0,324141.6,56807.40000000002,17.5,0.822,0.781
2022-02-01,2022,2,Feb,lluviosa,JFM,-1.14,La Nina,Fria debil,299373.0,277924.0,21449.0,7.7,0.355,0.407
2022-03-01,2022,3,Mar,lluviosa,FMA,-1.29,La Nina,Fria moderada,225750.0,202040.2,23709.79999999999,11.7,0.512,0.514
2022-04-01,2022,4,Abr,lluviosa,MAM,-1.14,La Nina,Fria debil,55771.0,81589.4,-25818.399999999994,-31.6,-0.904,-0.916
2022-05-01,2022,5,May,seca,AMJ,-1.39,La Nina,Fria moderada,7907.0,19433.120000000003,-11526.120000000003,-59.3,-1.276,-1.491
2022-06-01,2022,6,Jun,seca,MJJ,-1.27,La Nina,Fria moderada,5116.7,3124.5,1992.1999999999998,63.8,0.705,0.907
2022-07-01,2022,7,Jul,seca,JJA,-1.04,La Nina,Fria debil,7401.0,3344.2599999999998,4056.7400000000002,121.3,1.403,1.109
2022-08-01,2022,8,Ago,seca,JAS,-0.94,Neutral,Neutra,7577.4,7453.12,124.27999999999975,1.7,0.036,0.221
2022-09-01,2022,9,Set,seca,ASO,-1.19,La Nina,Fria debil,40246.0,32182.96,8063.040000000001,25.1,1.13,1.006
2022-10-01,2022,10,Oct,lluviosa,SON,-1.51,La Nina,Fria fuerte,102339.0,88403.0,13936.0,15.8,0.623,0.617
2022-11-01,2022,11,Nov,lluviosa,OND,-1.27,La Nina,Fria moderada,104200.0,171515.0,-67315.0,-39.2,-0.976,-1.08
2022-12-01,2022,12,Dic,lluviosa,NDJ,-0.83,Neutral,Neutra,403043.0,322980.6,80062.40000000002,24.8,0.855,0.788
2023-01-01,2023,1,Ene,lluviosa,DJF,-0.11,Neutral,Neutra,347811.0,324141.6,23669.400000000023,7.3,0.343,0.39
2023-02-01,2023,2,Feb,lluviosa,JFM,0.52,El Nino,Calida debil,335456.0,277924.0,57532.0,20.7,0.953,0.894
2023-03-01,2023,3,Mar,lluviosa,FMA,1.42,El Nino,Calida moderada,240929.0,202040.2,38888.79999999999,19.2,0.84,0.758
2023-04-01,2023,4,Abr,lluviosa,MAM,1.79,El Nino,Calida fuerte,109079.0,81589.4,27489.600000000006,33.7,0.963,0.949
2023-05-01,2023,5,May,seca,AMJ,2.08,El Nino,Calida fuerte,22668.0,19433.120000000003,3234.8799999999974,16.6,0.358,0.481
2023-06-01,2023,6,Jun,seca,MJJ,2.27,El Nino,Calida fuerte,1221.9,3124.5,-1902.6,-60.9,-0.674,-0.635
2023-07-01,2023,7,Jul,seca,JJA,2.6,El Nino,Calida fuerte,1123.2,3344.2599999999998,-2221.0599999999995,-66.4,-0.768,-0.65
2023-08-01,2023,8,Ago,seca,JAS,2.58,El Nino,Calida fuerte,8167.0,7453.12,713.8800000000001,9.6,0.205,0.383
2023-09-01,2023,9,Set,seca,ASO,2.3,El Nino,Calida fuerte,31904.0,32182.96,-278.9599999999991,-0.9,-0.039,0.056
2023-10-01,2023,10,Oct,lluviosa,SON,1.94,El Nino,Calida fuerte,82939.0,88403.0,-5464.0,-6.2,-0.244,-0.118
2023-11-01,2023,11,Nov,lluviosa,OND,1.41,El Nino,Calida moderada,146556.0,171515.0,-24959.0,-14.6,-0.362,-0.231
2023-12-01,2023,12,Dic,lluviosa,NDJ,0.77,El Nino,Calida debil,413031.0,322980.6,90050.40000000002,27.9,0.961,0.861
2024-01-01,2024,1,Ene,lluviosa,DJF,0.27,Neutral,Neutra,382169.0,324141.6,58027.40000000002,17.9,0.84,0.795
2024-02-01,2024,2,Feb,lluviosa,JFM,-0.12,Neutral,Neutra,322816.0,277924.0,44892.0,16.2,0.744,0.73
2024-03-01,2024,3,Mar,lluviosa,FMA,-0.32,Neutral,Neutra,193903.0,202040.2,-8137.200000000012,-4.0,-0.176,-0.058
2024-04-01,2024,4,Abr,lluviosa,MAM,-0.86,Neutral,Neutra,112888.0,81589.4,31298.600000000006,38.4,1.096,1.044
2024-05-01,2024,5,May,seca,AMJ,-1.13,La Nina,Fria debil,21199.6,19433.120000000003,1766.479999999996,9.1,0.196,0.356
2024-06-01,2024,6,Jun,seca,MJJ,-1.25,La Nina,Fria moderada,1075.7,3124.5,-2048.8,-65.6,-0.725,-0.773
2024-07-01,2024,7,Jul,seca,JJA,-1.01,La Nina,Fria debil,549.4,3344.2599999999998,-2794.8599999999997,-83.6,-0.967,-1.316
2024-08-01,2024,8,Ago,seca,JAS,-0.87,Neutral,Neutra,4660.3,7453.12,-2792.8199999999997,-37.5,-0.802,-0.831
