fecha,anio,mes,mes_nombre,temporada,season,valor,fase_enso,categoria,n_rayos_norm,media,anomalia,anomalia_pct,z,z_log
2021-01-01,2021,1,Ene,lluviosa,DJF,-0.78,Neutral,Neutra,305.0,396.0,-91.0,-23.0,-0.504,-0.303
2021-02-01,2021,2,Feb,lluviosa,JFM,-0.83,Neutral,Neutra,269.0,1335.8,-1066.8,-79.9,-0.863,-1.087
2021-03-01,2021,3,Mar,lluviosa,FMA,-0.85,Neutral,Neutra,4165.0,2597.2,1567.8000000000002,60.4,0.72,0.77
2021-04-01,2021,4,Abr,lluviosa,MAM,-0.83,Neutral,Neutra,181.0,4692.4,-4511.4,-96.1,-0.472,-0.668
2021-05-01,2021,5,May,seca,AMJ,-0.7,Neutral,Neutra,120.0,159.0,-39.0,-24.5,-0.149,0.509
2021-06-01,2021,6,Jun,seca,MJJ,-0.46,Neutral,Neutra,11.0,6.840000000000001,4.159999999999999,60.8,1.042,1.006
2021-07-01,2021,7,Jul,seca,JJA,-0.29,Neutral,Neutra,25.8,9.379999999999999,16.42,175.1,1.675,1.162
2021-08-01,2021,8,Ago,seca,JAS,-0.4,Neutral,Neutra,131.0,32.92,98.08,297.9,1.774,1.381
2021-09-01,2021,9,Set,seca,ASO,-0.62,Neutral,Neutra,146.0,49.519999999999996,96.48,194.8,1.734,1.512
2021-10-01,2021,10,Oct,lluviosa,SON,-0.9,Neutral,Neutra,308.0,129.0,179.0,138.8,1.773,1.724
2021-11-01,2021,11,Nov,lluviosa,OND,-1.23,La Nina,Fria moderada,370.0,207.2,162.8,78.6,1.619,1.469
2021-12-01,2021,12,Dic,lluviosa,NDJ,-1.31,La Nina,Fria moderada,368.0,318.4,49.60000000000002,15.6,0.313,0.408
2022-01-01,2022,1,Ene,lluviosa,DJF,-1.46,La Nina,Fria fuerte,608.0,396.0,212.0,53.5,1.175,1.0
2022-02-01,2022,2,Feb,lluviosa,JFM,-1.15,La Nina,Fria debil,325.0,1335.8,-1010.8,-75.7,-0.818,-0.913
2022-03-01,2022,3,Mar,lluviosa,FMA,-1.25,La Nina,Fria moderada,889.0,2597.2,-1708.1999999999998,-65.8,-0.784,-0.546
2022-04-01,2022,4,Abr,lluviosa,MAM,-1.27,La Nina,Fria moderada,222.0,4692.4,-4470.4,-95.3,-0.467,-0.569
2022-05-01,2022,5,May,seca,AMJ,-1.52,La Nina,Fria fuerte,18.0,159.0,-141.0,-88.7,-0.538,-0.527
2022-06-01,2022,6,Jun,seca,MJJ,-1.45,La Nina,Fria fuerte,11.1,6.840000000000001,4.259999999999999,62.3,1.067,1.022
2022-07-01,2022,7,Jul,seca,JJA,-1.1,La Nina,Fria debil,7.0,9.379999999999999,-2.379999999999999,-25.4,-0.243,0.156
2022-08-01,2022,8,Ago,seca,JAS,-0.94,Neutral,Neutra,3.1,32.92,-29.82,-90.6,-0.54,-0.529
2022-09-01,2022,9,Set,seca,ASO,-1.13,La Nina,Fria debil,16.0,49.519999999999996,-33.519999999999996,-67.7,-0.602,-0.688
2022-10-01,2022,10,Oct,lluviosa,SON,-1.31,La Nina,Fria moderada,85.0,129.0,-44.0,-34.1,-0.436,-0.395
2022-11-01,2022,11,Nov,lluviosa,OND,-1.12,La Nina,Fria debil,222.0,207.2,14.800000000000011,7.1,0.147,0.34
2022-12-01,2022,12,Dic,lluviosa,NDJ,-0.72,Neutral,Neutra,440.0,318.4,121.60000000000002,38.2,0.767,0.621
2023-01-01,2023,1,Ene,lluviosa,DJF,-0.18,Neutral,Neutra,539.0,396.0,143.0,36.1,0.793,0.772
2023-02-01,2023,2,Feb,lluviosa,JFM,0.47,El Nino,Calida debil,3169.0,1335.8,1833.2,137.2,1.483,1.188
2023-03-01,2023,3,Mar,lluviosa,FMA,1.53,El Nino,Calida moderada,5460.0,2597.2,2862.8,110.2,1.314,1.001
2023-04-01,2023,4,Abr,lluviosa,MAM,2.11,El Nino,Calida fuerte,21793.0,4692.4,17100.6,364.4,1.787,1.671
2023-05-01,2023,5,May,seca,AMJ,2.45,El Nino,Calida fuerte,621.0,159.0,462.0,290.6,1.762,1.426
2023-06-01,2023,6,Jun,seca,MJJ,2.57,El Nino,Calida fuerte,5.8,6.840000000000001,-1.040000000000001,-15.2,-0.26,-0.059
2023-07-01,2023,7,Jul,seca,JJA,2.92,El Nino,Calida fuerte,9.3,9.379999999999999,-0.0799999999999983,-0.9,-0.008,0.367
2023-08-01,2023,8,Ago,seca,JAS,2.9,El Nino,Calida fuerte,14.0,32.92,-18.92,-57.5,-0.342,0.184
2023-09-01,2023,9,Set,seca,ASO,2.68,El Nino,Calida fuerte,28.0,49.519999999999996,-21.519999999999996,-43.5,-0.387,-0.143
2023-10-01,2023,10,Oct,lluviosa,SON,2.27,El Nino,Calida fuerte,103.0,129.0,-26.0,-20.2,-0.258,-0.08
2023-11-01,2023,11,Nov,lluviosa,OND,2.0,El Nino,Calida fuerte,194.0,207.2,-13.199999999999989,-6.4,-0.131,0.043
2023-12-01,2023,12,Dic,lluviosa,NDJ,1.66,El Nino,Calida moderada,442.0,318.4,123.60000000000002,38.8,0.779,0.626
2024-01-01,2024,1,Ene,lluviosa,DJF,1.34,El Nino,Calida moderada,368.0,396.0,-28.0,-7.1,-0.155,0.051
2024-02-01,2024,2,Feb,lluviosa,JFM,0.89,El Nino,Calida debil,1987.0,1335.8,651.2,48.7,0.527,0.757
2024-03-01,2024,3,Mar,lluviosa,FMA,0.39,Neutral,Neutra,312.0,2597.2,-2285.2,-88.0,-1.049,-1.436
2024-04-01,2024,4,Abr,lluviosa,MAM,-0.37,Neutral,Neutra,195.0,4692.4,-4497.4,-95.8,-0.47,-0.632
2024-05-01,2024,5,May,seca,AMJ,-0.77,Neutral,Neutra,31.0,159.0,-128.0,-80.5,-0.488,-0.235
2024-06-01,2024,6,Jun,seca,MJJ,-0.96,Neutral,Neutra,3.2,6.840000000000001,-3.6400000000000006,-53.2,-0.912,-0.962
2024-07-01,2024,7,Jul,seca,JJA,-0.72,Neutral,Neutra,0.0,9.379999999999999,-9.379999999999999,-100.0,-0.957,-1.574
2024-08-01,2024,8,Ago,seca,JAS,-0.65,Neutral,Neutra,0.0,32.92,-32.92,-100.0,-0.596,-1.306
2024-09-01,2024,9,Set,seca,ASO,-0.5,Neutral,Neutra,11.0,49.519999999999996,-38.519999999999996,-77.8,-0.692,-1.043
2024-10-01,2024,10,Oct,lluviosa,SON,-0.34,Neutral,Neutra,84.0,129.0,-45.0,-34.9,-0.446,-0.415
2024-11-01,2024,11,Nov,lluviosa,OND,-0.1,Neutral,Neutra,121.0,207.2,-86.19999999999999,-41.6,-0.857,-0.996
2024-12-01,2024,12,Dic,lluviosa,NDJ,-0.1,Neutral,Neutra,282.0,318.4,-36.39999999999998,-11.4,-0.23,0.09
2025-01-01,2025,1,Ene,lluviosa,DJF,0.07,Neutral,Neutra,160.0,396.0,-236.0,-59.6,-1.308,-1.52
2025-02-01,2025,2,Feb,lluviosa,JFM,0.41,El Nino,Calida debil,929.0,1335.8,-406.79999999999995,-30.5,-0.329,0.055
2025-03-01,2025,3,Mar,lluviosa,FMA,0.66,El Nino,Calida debil,2160.0,2597.2,-437.1999999999998,-16.8,-0.201,0.211
2025-04-01,2025,4,Abr,lluviosa,MAM,0.45,El Nino,Calida debil,1071.0,4692.4,-3621.3999999999996,-77.2,-0.379,0.198
2025-05-01,2025,5,May,seca,AMJ,0.15,Neutral,Neutra,5.0,159.0,-154.0,-96.9,-0.587,-1.172
2025-06-01,2025,6,Jun,seca,MJJ,0.09,Neutral,Neutra,3.1,6.840000000000001,-3.7400000000000007,-54.7,-0.937,-1.007
2025-07-01,2025,7,Jul,seca,JJA,0.13,Neutral,Neutra,4.8,9.379999999999999,-4.579999999999999,-48.8,-0.467,-0.111
2025-08-01,2025,8,Ago,seca,JAS,-0.04,Neutral,Neutra,16.5,32.92,-16.42,-49.9,-0.297,0.269
2025-09-01,2025,9,Set,seca,ASO,-0.24,Neutral,Neutra,46.6,49.519999999999996,-2.9199999999999946,-5.9,-0.052,0.362
2025-10-01,2025,10,Oct,lluviosa,SON,-0.42,Neutral,Neutra,65.0,129.0,-64.0,-49.6,-0.634,-0.834
2025-11-01,2025,11,Nov,lluviosa,OND,-0.48,Neutral,Neutra,129.0,207.2,-78.19999999999999,-37.7,-0.778,-0.856
2025-12-01,2025,12,Dic,lluviosa,NDJ,-0.46,Neutral,Neutra,60.0,318.4,-258.4,-81.2,-1.629,-1.746
