lat,lon_w,lon_e,n_puntos,lon_min,lon_max
-18.0,-70.30636833046472,-68.5,8,-72.0,-68.5
-16.0,-73.7409420289855,-68.5,16,-76.0,-68.5
-14.5,-75.28368055555555,-69.5,14,-76.0,-69.5
-13.0,-76.33590163934426,-71.22478070175438,16,-78.0,-70.5
-10.5,-77.68982558139535,-74.42190775681341,14,-79.0,-72.5
-9.0,-78.37962427745664,-75.9851150202977,10,-79.0,-74.5
-8.0,-78.88123052959502,-75.99794520547945,15,-80.0,-73.0
-6.5,-79.33772198407839,-75.87128712871286,14,-81.0,-74.5
-5.0,-80.18350668647845,-78.45801526717557,14,-81.0,-74.5
-2.0,-79.28888410168031,-77.99444444444444,14,-81.0,-74.5
