anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,253122,31,31,1.0,253122.0
2021,2,560476,28,28,1.0,560476.0
2021,3,371866,31,31,1.0,371866.0
2021,4,106077,30,30,1.0,106077.0
2021,5,55908,31,31,1.0,55908.0
2021,6,56379,30,30,1.0,56379.0
2021,7,22234,30,31,0.9677,22975.1
2021,8,92507,31,31,1.0,92507.0
2021,9,103544,30,30,1.0,103544.0
2021,10,260914,31,31,1.0,260914.0
2021,11,604659,30,30,1.0,604659.0
2021,12,689118,31,31,1.0,689118.0
2022,1,612063,31,31,1.0,612063.0
2022,2,529180,28,28,1.0,529180.0
2022,3,299732,31,31,1.0,299732.0
2022,4,169346,30,30,1.0,169346.0
2022,5,33055,31,31,1.0,33055.0
2022,6,31479,27,30,0.9,34976.7
2022,7,55367,31,31,1.0,55367.0
2022,8,56418,30,31,0.9677,58298.6
2022,9,180126,30,30,1.0,180126.0
2022,10,476245,31,31,1.0,476245.0
2022,11,543939,30,30,1.0,543939.0
2022,12,594599,31,31,1.0,594599.0
2023,1,434580,31,31,1.0,434580.0
2023,2,407031,28,28,1.0,407031.0
2023,3,544788,31,31,1.0,544788.0
2023,4,239424,30,30,1.0,239424.0
2023,5,66190,31,31,1.0,66190.0
2023,6,11202,26,30,0.8667,12925.4
2023,7,20867,30,31,0.9677,21562.6
2023,8,43812,31,31,1.0,43812.0
2023,9,153282,30,30,1.0,153282.0
2023,10,292608,31,31,1.0,292608.0
2023,11,369292,30,30,1.0,369292.0
2023,12,286806,31,31,1.0,286806.0
2024,1,406181,31,31,1.0,406181.0
2024,2,683373,29,29,1.0,683373.0
2024,3,333879,31,31,1.0,333879.0
2024,4,227796,30,30,1.0,227796.0
2024,5,53503,28,31,0.9032,59235.5
2024,6,25196,28,30,0.9333,26995.7
2024,7,14769,29,31,0.9355,15787.6
2024,8,74360,30,31,0.9677,76838.7
2024,9,146343,30,30,1.0,146343.0
2024,10,312435,31,31,1.0,312435.0
2024,11,451266,30,30,1.0,451266.0
2024,12,441999,31,31,1.0,441999.0
2025,1,378477,31,31,1.0,378477.0
2025,2,292249,28,28,1.0,292249.0
2025,3,260232,31,31,1.0,260232.0
2025,4,142568,30,30,1.0,142568.0
2025,5,39512,31,31,1.0,39512.0
2025,6,15363,29,30,0.9667,15892.8
2025,7,6292,26,31,0.8387,7502.0
2025,8,43214,30,31,0.9677,44654.5
2025,9,85909,29,30,0.9667,88871.4
2025,10,158191,31,31,1.0,158191.0
2025,11,292754,30,30,1.0,292754.0
2025,12,502699,31,31,1.0,502699.0
