anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,2621,31,31,1.0,2621.0
2021,2,3656,28,28,1.0,3656.0
2021,3,7928,31,31,1.0,7928.0
2021,4,1198,30,30,1.0,1198.0
2021,5,263,31,31,1.0,263.0
2021,6,56,30,30,1.0,56.0
2021,7,45,30,31,0.9677,46.5
2021,8,265,31,31,1.0,265.0
2021,9,297,30,30,1.0,297.0
2021,10,897,31,31,1.0,897.0
2021,11,798,30,30,1.0,798.0
2021,12,1183,31,31,1.0,1183.0
2022,1,3075,31,31,1.0,3075.0
2022,2,3704,28,28,1.0,3704.0
2022,3,2713,31,31,1.0,2713.0
2022,4,426,30,30,1.0,426.0
2022,5,22,31,31,1.0,22.0
2022,6,29,27,30,0.9,32.2
2022,7,30,31,31,1.0,30.0
2022,8,7,30,31,0.9677,7.2
2022,9,167,30,30,1.0,167.0
2022,10,231,31,31,1.0,231.0
2022,11,524,30,30,1.0,524.0
2022,12,2697,31,31,1.0,2697.0
2023,1,3826,31,31,1.0,3826.0
2023,2,9465,28,28,1.0,9465.0
2023,3,11452,31,31,1.0,11452.0
2023,4,25925,30,30,1.0,25925.0
2023,5,766,31,31,1.0,766.0
2023,6,7,26,30,0.8667,8.1
2023,7,16,30,31,0.9677,16.5
2023,8,22,31,31,1.0,22.0
2023,9,77,30,30,1.0,77.0
2023,10,816,31,31,1.0,816.0
2023,11,703,30,30,1.0,703.0
2023,12,2284,31,31,1.0,2284.0
2024,1,8818,31,31,1.0,8818.0
2024,2,6870,29,29,1.0,6870.0
2024,3,3990,31,31,1.0,3990.0
2024,4,1267,30,30,1.0,1267.0
2024,5,116,28,31,0.9032,128.4
2024,6,14,28,30,0.9333,15.0
2024,7,2,29,31,0.9355,2.1
2024,8,1,30,31,0.9677,1.0
2024,9,57,30,30,1.0,57.0
2024,10,380,31,31,1.0,380.0
2024,11,452,30,30,1.0,452.0
2024,12,1454,31,31,1.0,1454.0
2025,1,1629,31,31,1.0,1629.0
2025,2,5860,28,28,1.0,5860.0
2025,3,3396,31,31,1.0,3396.0
2025,4,1697,30,30,1.0,1697.0
2025,5,62,31,31,1.0,62.0
2025,6,3,29,30,0.9667,3.1
2025,7,4,26,31,0.8387,4.8
2025,8,22,30,31,0.9677,22.7
2025,9,171,29,30,0.9667,176.9
2025,10,452,31,31,1.0,452.0
2025,11,409,30,30,1.0,409.0
2025,12,167,31,31,1.0,167.0
