lat,lon_w,lon_e,n_puntos,lon_min,lon_max
-18.0,-70.44979919678715,-68.5,8,-72.0,-68.5
-16.0,-73.89190821256038,-68.5,16,-76.0,-68.5
-14.5,-75.45729166666666,-69.5,14,-76.0,-69.5
-13.0,-76.41786885245902,-70.59254143646409,16,-78.0,-70.5
-10.5,-77.83517441860465,-74.15985324947589,14,-79.0,-72.5
-9.0,-78.45187861271677,-75.6468200270636,10,-79.0,-74.5
-8.0,-78.97858255451713,-75.65547945205479,15,-80.0,-73.0
-6.5,-79.49081445192897,-75.62376237623762,14,-81.0,-74.5
-5.0,-80.36924219910847,-77.46344647519582,14,-81.0,-74.5
-2.0,-79.39659629470056,-77.53148148148148,14,-81.0,-74.5
