anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,321841,31,31,1.0,321841.0
2021,2,323606,28,28,1.0,323606.0
2021,3,271711,31,31,1.0,271711.0
2021,4,89653,30,30,1.0,89653.0
2021,5,40631,31,31,1.0,40631.0
2021,6,12760,30,30,1.0,12760.0
2021,7,7341,30,31,0.9677,7585.7
2021,8,18840,31,31,1.0,18840.0
2021,9,44194,30,30,1.0,44194.0
2021,10,150397,31,31,1.0,150397.0
2021,11,346502,30,30,1.0,346502.0
2021,12,421001,31,31,1.0,421001.0
2022,1,469032,31,31,1.0,469032.0
2022,2,381746,28,28,1.0,381746.0
2022,3,256230,31,31,1.0,256230.0
2022,4,77433,30,30,1.0,77433.0
2022,5,10599,31,31,1.0,10599.0
2022,6,7418,27,30,0.9,8242.2
2022,7,12346,31,31,1.0,12346.0
2022,8,11473,30,31,0.9677,11855.4
2022,9,62642,30,30,1.0,62642.0
2022,10,168155,31,31,1.0,168155.0
2022,11,157574,30,30,1.0,157574.0
2022,12,485205,31,31,1.0,485205.0
2023,1,407380,31,31,1.0,407380.0
2023,2,380247,28,28,1.0,380247.0
2023,3,308560,31,31,1.0,308560.0
2023,4,138975,30,30,1.0,138975.0
2023,5,30828,31,31,1.0,30828.0
2023,6,1974,26,30,0.8667,2277.7
2023,7,2028,30,31,0.9677,2095.6
2023,8,12503,31,31,1.0,12503.0
2023,9,44210,30,30,1.0,44210.0
2023,10,107729,31,31,1.0,107729.0
2023,11,186691,30,30,1.0,186691.0
2023,12,459318,31,31,1.0,459318.0
2024,1,426293,31,31,1.0,426293.0
2024,2,435583,29,29,1.0,435583.0
2024,3,239738,31,31,1.0,239738.0
2024,4,140657,30,30,1.0,140657.0
2024,5,24759,28,31,0.9032,27411.8
2024,6,3012,28,30,0.9333,3227.1
2024,7,939,29,31,0.9355,1003.8
2024,8,9200,30,31,0.9677,9506.7
2024,9,46097,30,30,1.0,46097.0
2024,10,124966,31,31,1.0,124966.0
2024,11,298489,30,30,1.0,298489.0
2024,12,358520,31,31,1.0,358520.0
2025,1,286786,31,31,1.0,286786.0
2025,2,233160,28,28,1.0,233160.0
2025,3,155805,31,31,1.0,155805.0
2025,4,71667,30,30,1.0,71667.0
2025,5,17382,31,31,1.0,17382.0
2025,6,1938,29,30,0.9667,2004.8
2025,7,2849,26,31,0.8387,3396.9
2025,8,9264,30,31,0.9677,9572.8
2025,9,27686,29,30,0.9667,28640.7
2025,10,64362,31,31,1.0,64362.0
2025,11,150297,30,30,1.0,150297.0
2025,12,258564,31,31,1.0,258564.0
