anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,210606,31,31,1.0,210606.0
2021,2,489487,28,28,1.0,489487.0
2021,3,338040,31,31,1.0,338040.0
2021,4,92173,30,30,1.0,92173.0
2021,5,48621,31,31,1.0,48621.0
2021,6,51945,30,30,1.0,51945.0
2021,7,19891,30,31,0.9677,20554.0
2021,8,87144,31,31,1.0,87144.0
2021,9,94136,30,30,1.0,94136.0
2021,10,226735,31,31,1.0,226735.0
2021,11,509996,30,30,1.0,509996.0
2021,12,569815,31,31,1.0,569815.0
2022,1,510659,31,31,1.0,510659.0
2022,2,475120,28,28,1.0,475120.0
2022,3,269226,31,31,1.0,269226.0
2022,4,149931,30,30,1.0,149931.0
2022,5,30428,31,31,1.0,30428.0
2022,6,28940,27,30,0.9,32155.6
2022,7,50233,31,31,1.0,50233.0
2022,8,52287,30,31,0.9677,54029.9
2022,9,160510,30,30,1.0,160510.0
2022,10,412782,31,31,1.0,412782.0
2022,11,492522,30,30,1.0,492522.0
2022,12,507708,31,31,1.0,507708.0
2023,1,365767,31,31,1.0,365767.0
2023,2,361884,28,28,1.0,361884.0
2023,3,490652,31,31,1.0,490652.0
2023,4,213311,30,30,1.0,213311.0
2023,5,59285,31,31,1.0,59285.0
2023,6,10466,26,30,0.8667,12076.2
2023,7,20294,30,31,0.9677,20970.5
2023,8,41441,31,31,1.0,41441.0
2023,9,139127,30,30,1.0,139127.0
2023,10,267787,31,31,1.0,267787.0
2023,11,330562,30,30,1.0,330562.0
2023,12,239715,31,31,1.0,239715.0
2024,1,357296,31,31,1.0,357296.0
2024,2,601482,29,29,1.0,601482.0
2024,3,304529,31,31,1.0,304529.0
2024,4,198793,30,30,1.0,198793.0
2024,5,48846,28,31,0.9032,54079.5
2024,6,24527,28,30,0.9333,26278.9
2024,7,14561,29,31,0.9355,15565.2
2024,8,71971,30,31,0.9677,74370.0
2024,9,133933,30,30,1.0,133933.0
2024,10,282161,31,31,1.0,282161.0
2024,11,383303,30,30,1.0,383303.0
2024,12,381954,31,31,1.0,381954.0
2025,1,320866,31,31,1.0,320866.0
2025,2,249692,28,28,1.0,249692.0
2025,3,238251,31,31,1.0,238251.0
2025,4,128520,30,30,1.0,128520.0
2025,5,35786,31,31,1.0,35786.0
2025,6,14927,29,30,0.9667,15441.7
2025,7,5948,26,31,0.8387,7091.8
2025,8,41062,30,31,0.9677,42430.7
2025,9,80756,29,30,0.9667,83540.7
2025,10,147993,31,31,1.0,147993.0
2025,11,249540,30,30,1.0,249540.0
2025,12,429624,31,31,1.0,429624.0
