anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,289128,31,31,1.0,289128.0
2021,2,239600,28,28,1.0,239600.0
2021,3,224561,31,31,1.0,224561.0
2021,4,77685,30,30,1.0,77685.0
2021,5,31597,31,31,1.0,31597.0
2021,6,7122,30,30,1.0,7122.0
2021,7,5031,30,31,0.9677,5198.7
2021,8,12802,31,31,1.0,12802.0
2021,9,36138,30,30,1.0,36138.0
2021,10,112195,31,31,1.0,112195.0
2021,11,259286,30,30,1.0,259286.0
2021,12,311259,31,31,1.0,311259.0
2022,1,380949,31,31,1.0,380949.0
2022,2,299373,28,28,1.0,299373.0
2022,3,225750,31,31,1.0,225750.0
2022,4,55771,30,30,1.0,55771.0
2022,5,7907,31,31,1.0,7907.0
2022,6,4605,27,30,0.9,5116.7
2022,7,7401,31,31,1.0,7401.0
2022,8,7333,30,31,0.9677,7577.4
2022,9,40246,30,30,1.0,40246.0
2022,10,102339,31,31,1.0,102339.0
2022,11,104200,30,30,1.0,104200.0
2022,12,403043,31,31,1.0,403043.0
2023,1,347811,31,31,1.0,347811.0
2023,2,335456,28,28,1.0,335456.0
2023,3,240929,31,31,1.0,240929.0
2023,4,109079,30,30,1.0,109079.0
2023,5,22668,31,31,1.0,22668.0
2023,6,1059,26,30,0.8667,1221.9
2023,7,1087,30,31,0.9677,1123.2
2023,8,8167,31,31,1.0,8167.0
2023,9,31904,30,30,1.0,31904.0
2023,10,82939,31,31,1.0,82939.0
2023,11,146556,30,30,1.0,146556.0
2023,12,413031,31,31,1.0,413031.0
2024,1,382169,31,31,1.0,382169.0
2024,2,322816,29,29,1.0,322816.0
2024,3,193903,31,31,1.0,193903.0
2024,4,112888,30,30,1.0,112888.0
2024,5,19148,28,31,0.9032,21199.6
2024,6,1004,28,30,0.9333,1075.7
2024,7,514,29,31,0.9355,549.4
2024,8,4510,30,31,0.9677,4660.3
2024,9,31513,30,30,1.0,31513.0
2024,10,90831,31,31,1.0,90831.0
2024,11,229187,30,30,1.0,229187.0
2024,12,306678,31,31,1.0,306678.0
2025,1,220651,31,31,1.0,220651.0
2025,2,192375,28,28,1.0,192375.0
2025,3,125058,31,31,1.0,125058.0
2025,4,52524,30,30,1.0,52524.0
2025,5,13794,31,31,1.0,13794.0
2025,6,1050,29,30,0.9667,1086.2
2025,7,2054,26,31,0.8387,2449.0
2025,8,3928,30,31,0.9677,4058.9
2025,9,20410,29,30,0.9667,21113.8
2025,10,53711,31,31,1.0,53711.0
2025,11,118346,30,30,1.0,118346.0
2025,12,180892,31,31,1.0,180892.0
