anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,305,31,31,1.0,305.0
2021,2,269,28,28,1.0,269.0
2021,3,4165,31,31,1.0,4165.0
2021,4,181,30,30,1.0,181.0
2021,5,120,31,31,1.0,120.0
2021,6,11,30,30,1.0,11.0
2021,7,25,30,31,0.9677,25.8
2021,8,131,31,31,1.0,131.0
2021,9,146,30,30,1.0,146.0
2021,10,308,31,31,1.0,308.0
2021,11,370,30,30,1.0,370.0
2021,12,368,31,31,1.0,368.0
2022,1,608,31,31,1.0,608.0
2022,2,325,28,28,1.0,325.0
2022,3,889,31,31,1.0,889.0
2022,4,222,30,30,1.0,222.0
2022,5,18,31,31,1.0,18.0
2022,6,10,27,30,0.9,11.1
2022,7,7,31,31,1.0,7.0
2022,8,3,30,31,0.9677,3.1
2022,9,16,30,30,1.0,16.0
2022,10,85,31,31,1.0,85.0
2022,11,222,30,30,1.0,222.0
2022,12,440,31,31,1.0,440.0
2023,1,539,31,31,1.0,539.0
2023,2,3169,28,28,1.0,3169.0
2023,3,5460,31,31,1.0,5460.0
2023,4,21793,30,30,1.0,21793.0
2023,5,621,31,31,1.0,621.0
2023,6,5,26,30,0.8667,5.8
2023,7,9,30,31,0.9677,9.3
2023,8,14,31,31,1.0,14.0
2023,9,28,30,30,1.0,28.0
2023,10,103,31,31,1.0,103.0
2023,11,194,30,30,1.0,194.0
2023,12,442,31,31,1.0,442.0
2024,1,368,31,31,1.0,368.0
2024,2,1987,29,29,1.0,1987.0
2024,3,312,31,31,1.0,312.0
2024,4,195,30,30,1.0,195.0
2024,5,28,28,31,0.9032,31.0
2024,6,3,28,30,0.9333,3.2
2024,7,0,29,31,0.9355,0.0
2024,8,0,30,31,0.9677,0.0
2024,9,11,30,30,1.0,11.0
2024,10,84,31,31,1.0,84.0
2024,11,121,30,30,1.0,121.0
2024,12,282,31,31,1.0,282.0
2025,1,160,31,31,1.0,160.0
2025,2,929,28,28,1.0,929.0
2025,3,2160,31,31,1.0,2160.0
2025,4,1071,30,30,1.0,1071.0
2025,5,5,31,31,1.0,5.0
2025,6,3,29,30,0.9667,3.1
2025,7,4,26,31,0.8387,4.8
2025,8,16,30,31,0.9677,16.5
2025,9,45,29,30,0.9667,46.6
2025,10,65,31,31,1.0,65.0
2025,11,129,30,30,1.0,129.0
2025,12,60,31,31,1.0,60.0
