anio,mes,region,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,Amazonia,210606,31,31,1.0,210606.0
2021,2,Amazonia,489487,28,28,1.0,489487.0
2021,3,Amazonia,338040,31,31,1.0,338040.0
2021,4,Amazonia,92173,30,30,1.0,92173.0
2021,5,Amazonia,48621,31,31,1.0,48621.0
2021,6,Amazonia,51945,30,30,1.0,51945.0
2021,7,Amazonia,19891,30,31,0.9677,20554.0
2021,8,Amazonia,87144,31,31,1.0,87144.0
2021,9,Amazonia,94136,30,30,1.0,94136.0
2021,10,Amazonia,226735,31,31,1.0,226735.0
2021,11,Amazonia,509996,30,30,1.0,509996.0
2021,12,Amazonia,569815,31,31,1.0,569815.0
2022,1,Amazonia,510659,31,31,1.0,510659.0
2022,2,Amazonia,475120,28,28,1.0,475120.0
2022,3,Amazonia,269226,31,31,1.0,269226.0
2022,4,Amazonia,149931,30,30,1.0,149931.0
2022,5,Amazonia,30428,31,31,1.0,30428.0
2022,6,Amazonia,28940,27,30,0.9,32155.6
2022,7,Amazonia,50233,31,31,1.0,50233.0
2022,8,Amazonia,52287,30,31,0.9677,54029.9
2022,9,Amazonia,160510,30,30,1.0,160510.0
2022,10,Amazonia,412782,31,31,1.0,412782.0
2022,11,Amazonia,492522,30,30,1.0,492522.0
2022,12,Amazonia,507708,31,31,1.0,507708.0
2023,1,Amazonia,365767,31,31,1.0,365767.0
2023,2,Amazonia,361884,28,28,1.0,361884.0
2023,3,Amazonia,490652,31,31,1.0,490652.0
2023,4,Amazonia,213311,30,30,1.0,213311.0
2023,5,Amazonia,59285,31,31,1.0,59285.0
2023,6,Amazonia,10466,26,30,0.8667,12076.2
2023,7,Amazonia,20294,30,31,0.9677,20970.5
2023,8,Amazonia,41441,31,31,1.0,41441.0
2023,9,Amazonia,139127,30,30,1.0,139127.0
2023,10,Amazonia,267787,31,31,1.0,267787.0
2023,11,Amazonia,330562,30,30,1.0,330562.0
2023,12,Amazonia,239715,31,31,1.0,239715.0
2024,1,Amazonia,357296,31,31,1.0,357296.0
2024,2,Amazonia,601482,29,29,1.0,601482.0
2024,3,Amazonia,304529,31,31,1.0,304529.0
2024,4,Amazonia,198793,30,30,1.0,198793.0
2024,5,Amazonia,48846,28,31,0.9032,54079.5
2024,6,Amazonia,24527,28,30,0.9333,26278.9
2024,7,Amazonia,14561,29,31,0.9355,15565.2
2024,8,Amazonia,71971,30,31,0.9677,74370.0
2024,9,Amazonia,133933,30,30,1.0,133933.0
2024,10,Amazonia,282161,31,31,1.0,282161.0
2024,11,Amazonia,383303,30,30,1.0,383303.0
2024,12,Amazonia,381954,31,31,1.0,381954.0
2025,1,Amazonia,320866,31,31,1.0,320866.0
2025,2,Amazonia,249692,28,28,1.0,249692.0
2025,3,Amazonia,238251,31,31,1.0,238251.0
2025,4,Amazonia,128520,30,30,1.0,128520.0
2025,5,Amazonia,35786,31,31,1.0,35786.0
2025,6,Amazonia,14927,29,30,0.9667,15441.7
2025,7,Amazonia,5948,26,31,0.8387,7091.8
2025,8,Amazonia,41062,30,31,0.9677,42430.7
2025,9,Amazonia,80756,29,30,0.9667,83540.7
2025,10,Amazonia,147993,31,31,1.0,147993.0
2025,11,Amazonia,249540,30,30,1.0,249540.0
2025,12,Amazonia,429624,31,31,1.0,429624.0
2021,1,Andes,289128,31,31,1.0,289128.0
2021,2,Andes,239600,28,28,1.0,239600.0
2021,3,Andes,224561,31,31,1.0,224561.0
2021,4,Andes,77685,30,30,1.0,77685.0
2021,5,Andes,31597,31,31,1.0,31597.0
2021,6,Andes,7122,30,30,1.0,7122.0
2021,7,Andes,5031,30,31,0.9677,5198.7
2021,8,Andes,12802,31,31,1.0,12802.0
2021,9,Andes,36138,30,30,1.0,36138.0
2021,10,Andes,112195,31,31,1.0,112195.0
2021,11,Andes,259286,30,30,1.0,259286.0
2021,12,Andes,311259,31,31,1.0,311259.0
2022,1,Andes,380949,31,31,1.0,380949.0
2022,2,Andes,299373,28,28,1.0,299373.0
2022,3,Andes,225750,31,31,1.0,225750.0
2022,4,Andes,55771,30,30,1.0,55771.0
2022,5,Andes,7907,31,31,1.0,7907.0
2022,6,Andes,4605,27,30,0.9,5116.7
2022,7,Andes,7401,31,31,1.0,7401.0
2022,8,Andes,7333,30,31,0.9677,7577.4
2022,9,Andes,40246,30,30,1.0,40246.0
2022,10,Andes,102339,31,31,1.0,102339.0
2022,11,Andes,104200,30,30,1.0,104200.0
2022,12,Andes,403043,31,31,1.0,403043.0
2023,1,Andes,347811,31,31,1.0,347811.0
2023,2,Andes,335456,28,28,1.0,335456.0
2023,3,Andes,240929,31,31,1.0,240929.0
2023,4,Andes,109079,30,30,1.0,109079.0
2023,5,Andes,22668,31,31,1.0,22668.0
2023,6,Andes,1059,26,30,0.8667,1221.9
2023,7,Andes,1087,30,31,0.9677,1123.2
2023,8,Andes,8167,31,31,1.0,8167.0
2023,9,Andes,31904,30,30,1.0,31904.0
2023,10,Andes,82939,31,31,1.0,82939.0
2023,11,Andes,146556,30,30,1.0,146556.0
2023,12,Andes,413031,31,31,1.0,413031.0
2024,1,Andes,382169,31,31,1.0,382169.0
2024,2,Andes,322816,29,29,1.0,322816.0
2024,3,Andes,193903,31,31,1.0,193903.0
2024,4,Andes,112888,30,30,1.0,112888.0
2024,5,Andes,19148,28,31,0.9032,21199.6
2024,6,Andes,1004,28,30,0.9333,1075.7
2024,7,Andes,514,29,31,0.9355,549.4
2024,8,Andes,4510,30,31,0.9677,4660.3
2024,9,Andes,31513,30,30,1.0,31513.0
2024,10,Andes,90831,31,31,1.0,90831.0
2024,11,Andes,229187,30,30,1.0,229187.0
2024,12,Andes,306678,31,31,1.0,306678.0
2025,1,Andes,220651,31,31,1.0,220651.0
2025,2,Andes,192375,28,28,1.0,192375.0
2025,3,Andes,125058,31,31,1.0,125058.0
2025,4,Andes,52524,30,30,1.0,52524.0
2025,5,Andes,13794,31,31,1.0,13794.0
2025,6,Andes,1050,29,30,0.9667,1086.2
2025,7,Andes,2054,26,31,0.8387,2449.0
2025,8,Andes,3928,30,31,0.9677,4058.9
2025,9,Andes,20410,29,30,0.9667,21113.8
2025,10,Andes,53711,31,31,1.0,53711.0
2025,11,Andes,118346,30,30,1.0,118346.0
2025,12,Andes,180892,31,31,1.0,180892.0
2021,1,Costa,305,31,31,1.0,305.0
2021,2,Costa,269,28,28,1.0,269.0
2021,3,Costa,4165,31,31,1.0,4165.0
2021,4,Costa,181,30,30,1.0,181.0
2021,5,Costa,120,31,31,1.0,120.0
2021,6,Costa,11,30,30,1.0,11.0
2021,7,Costa,25,30,31,0.9677,25.8
2021,8,Costa,131,31,31,1.0,131.0
2021,9,Costa,146,30,30,1.0,146.0
2021,10,Costa,308,31,31,1.0,308.0
2021,11,Costa,370,30,30,1.0,370.0
2021,12,Costa,368,31,31,1.0,368.0
2022,1,Costa,608,31,31,1.0,608.0
2022,2,Costa,325,28,28,1.0,325.0
2022,3,Costa,889,31,31,1.0,889.0
2022,4,Costa,222,30,30,1.0,222.0
2022,5,Costa,18,31,31,1.0,18.0
2022,6,Costa,10,27,30,0.9,11.1
2022,7,Costa,7,31,31,1.0,7.0
2022,8,Costa,3,30,31,0.9677,3.1
2022,9,Costa,16,30,30,1.0,16.0
2022,10,Costa,85,31,31,1.0,85.0
2022,11,Costa,222,30,30,1.0,222.0
2022,12,Costa,440,31,31,1.0,440.0
2023,1,Costa,539,31,31,1.0,539.0
2023,2,Costa,3169,28,28,1.0,3169.0
2023,3,Costa,5460,31,31,1.0,5460.0
2023,4,Costa,21793,30,30,1.0,21793.0
2023,5,Costa,621,31,31,1.0,621.0
2023,6,Costa,5,26,30,0.8667,5.8
2023,7,Costa,9,30,31,0.9677,9.3
2023,8,Costa,14,31,31,1.0,14.0
2023,9,Costa,28,30,30,1.0,28.0
2023,10,Costa,103,31,31,1.0,103.0
2023,11,Costa,194,30,30,1.0,194.0
2023,12,Costa,442,31,31,1.0,442.0
2024,1,Costa,368,31,31,1.0,368.0
2024,2,Costa,1987,29,29,1.0,1987.0
2024,3,Costa,312,31,31,1.0,312.0
2024,4,Costa,195,30,30,1.0,195.0
2024,5,Costa,28,28,31,0.9032,31.0
2024,6,Costa,3,28,30,0.9333,3.2
2024,7,Costa,0,29,31,0.9355,0.0
2024,8,Costa,0,30,31,0.9677,0.0
2024,9,Costa,11,30,30,1.0,11.0
2024,10,Costa,84,31,31,1.0,84.0
2024,11,Costa,121,30,30,1.0,121.0
