fecha,anio,mes,mes_nombre,temporada,season,valor,fase_enso,categoria,n_rayos_norm,media,anomalia,anomalia_pct,z,z_log
2021-01-01,2021,1,Ene,lluviosa,DJF,-0.78,Neutral,Neutra,190521.0,324804.2,-134283.2,-41.3,-1.342,-1.518
2021-02-01,2021,2,Feb,lluviosa,JFM,-0.83,Neutral,Neutra,450791.0,399882.2,50908.79999999999,12.7,0.436,0.49
2021-03-01,2021,3,Mar,lluviosa,FMA,-0.85,Neutral,Neutra,324019.0,313710.6,10308.400000000023,3.3,0.11,0.234
2021-04-01,2021,4,Abr,lluviosa,MAM,-0.83,Neutral,Neutra,86749.0,150034.4,-63285.399999999994,-42.2,-1.312,-1.453
2021-05-01,2021,5,May,seca,AMJ,-0.7,Neutral,Neutra,46256.0,44153.64,2102.3600000000006,4.8,0.177,0.274
2021-06-01,2021,6,Jun,seca,MJJ,-0.46,Neutral,Neutra,47994.0,26495.140000000003,21498.859999999997,81.1,1.496,1.279
2021-07-01,2021,7,Jul,seca,JJA,-0.29,Neutral,Neutra,19920.6,22275.239999999998,-2354.6399999999994,-10.6,-0.151,0.112
2021-08-01,2021,8,Ago,seca,JAS,-0.4,Neutral,Neutra,84695.0,57934.6,26760.4,46.2,1.332,1.246
2021-09-01,2021,9,Set,seca,ASO,-0.62,Neutral,Neutra,90387.0,117306.88,-26919.880000000005,-22.9,-0.871,-0.837
2021-10-01,2021,10,Oct,lluviosa,SON,-0.9,Neutral,Neutra,206196.0,252922.0,-46726.0,-18.5,-0.51,-0.405
2021-11-01,2021,11,Nov,lluviosa,OND,-1.23,La Nina,Fria moderada,475841.0,371119.0,104722.0,28.2,1.0,0.942
2021-12-01,2021,12,Dic,lluviosa,NDJ,-1.31,La Nina,Fria moderada,523618.0,390038.2,133579.8,34.2,1.133,0.988
2022-01-01,2022,1,Ene,lluviosa,DJF,-1.46,La Nina,Fria fuerte,470407.0,324804.2,145602.8,44.8,1.455,1.265
2022-02-01,2022,2,Feb,lluviosa,JFM,-1.15,La Nina,Fria debil,438917.0,399882.2,39034.79999999999,9.8,0.334,0.407
2022-03-01,2022,3,Mar,lluviosa,FMA,-1.25,La Nina,Fria moderada,252257.0,313710.6,-61453.59999999998,-19.6,-0.655,-0.677
2022-04-01,2022,4,Abr,lluviosa,MAM,-1.27,La Nina,Fria moderada,145792.0,150034.4,-4242.399999999994,-2.8,-0.088,0.048
2022-05-01,2022,5,May,seca,AMJ,-1.52,La Nina,Fria fuerte,29245.0,44153.64,-14908.64,-33.8,-1.256,-1.347
2022-06-01,2022,6,Jun,seca,MJJ,-1.45,La Nina,Fria fuerte,31471.1,26495.140000000003,4975.9599999999955,18.8,0.346,0.525
2022-07-01,2022,7,Jul,seca,JJA,-1.1,La Nina,Fria debil,48385.0,22275.239999999998,26109.760000000002,117.2,1.673,1.379
2022-08-01,2022,8,Ago,seca,JAS,-0.94,Neutral,Neutra,52083.1,57934.6,-5851.5,-10.1,-0.291,-0.172
2022-09-01,2022,9,Set,seca,ASO,-1.13,La Nina,Fria debil,153518.0,117306.88,36211.119999999995,30.9,1.172,1.081
2022-10-01,2022,10,Oct,lluviosa,SON,-1.31,La Nina,Fria moderada,390523.0,252922.0,137601.0,54.4,1.501,1.315
2022-11-01,2022,11,Nov,lluviosa,OND,-1.12,La Nina,Fria debil,473339.0,371119.0,102220.0,27.5,0.976,0.925
2022-12-01,2022,12,Dic,lluviosa,NDJ,-0.72,Neutral,Neutra,469823.0,390038.2,79784.79999999999,20.5,0.677,0.671
2023-01-01,2023,1,Ene,lluviosa,DJF,-0.18,Neutral,Neutra,332130.0,324804.2,7325.799999999988,2.3,0.073,0.193
2023-02-01,2023,2,Feb,lluviosa,JFM,0.47,El Nino,Calida debil,339926.0,399882.2,-59956.20000000001,-15.0,-0.514,-0.38
2023-03-01,2023,3,Mar,lluviosa,FMA,1.53,El Nino,Calida moderada,469274.0,313710.6,155563.40000000002,49.6,1.657,1.582
2023-04-01,2023,4,Abr,lluviosa,MAM,2.11,El Nino,Calida fuerte,208057.0,150034.4,58022.600000000006,38.7,1.203,1.077
2023-05-01,2023,5,May,seca,AMJ,2.45,El Nino,Calida fuerte,58369.0,44153.64,14215.36,32.2,1.198,1.096
2023-06-01,2023,6,Jun,seca,MJJ,2.57,El Nino,Calida fuerte,11883.5,26495.140000000003,-14611.640000000003,-55.1,-1.017,-1.214
2023-07-01,2023,7,Jul,seca,JJA,2.92,El Nino,Calida fuerte,20770.0,22275.239999999998,-1505.239999999998,-6.8,-0.096,0.172
2023-08-01,2023,8,Ago,seca,JAS,2.9,El Nino,Calida fuerte,39283.0,57934.6,-18651.6,-32.2,-0.929,-0.994
