fecha,anio,mes,mes_nombre,temporada,season,valor,fase_enso,categoria,n_rayos_norm,media,anomalia,anomalia_pct,z,z_log
2021-01-01,2021,1,Ene,lluviosa,DJF,-0.78,Neutral,Neutra,309182.0,352355.4,-43173.40000000002,-12.3,-0.579,-0.483
2021-02-01,2021,2,Feb,lluviosa,JFM,-0.83,Neutral,Neutra,278297.0,313571.6,-35274.59999999998,-11.2,-0.5,-0.394
2021-03-01,2021,3,Mar,lluviosa,FMA,-0.85,Neutral,Neutra,238530.0,216272.8,22257.20000000001,10.3,0.433,0.453
2021-04-01,2021,4,Abr,lluviosa,MAM,-0.83,Neutral,Neutra,83107.0,88040.2,-4933.199999999997,-5.6,-0.157,-0.015
2021-05-01,2021,5,May,seca,AMJ,-0.7,Neutral,Neutra,33933.0,20908.04,13024.96,62.3,1.359,1.132
2021-06-01,2021,6,Jun,seca,MJJ,-0.46,Neutral,Neutra,11071.0,4207.34,6863.66,163.1,1.601,1.389
2021-07-01,2021,7,Jul,seca,JJA,-0.29,Neutral,Neutra,5828.0,3950.9,1877.1,47.5,0.526,0.741
2021-08-01,2021,8,Ago,seca,JAS,-0.4,Neutral,Neutra,15230.0,9396.460000000001,5833.539999999999,62.1,1.522,1.366
2021-09-01,2021,9,Set,seca,ASO,-0.62,Neutral,Neutra,39876.0,37120.38,2755.6200000000026,7.4,0.324,0.379
2021-10-01,2021,10,Oct,lluviosa,SON,-0.9,Neutral,Neutra,132707.0,102961.8,29745.199999999997,28.9,1.025,0.912
2021-11-01,2021,11,Nov,lluviosa,OND,-1.23,La Nina,Fria moderada,293415.0,193564.0,99851.0,51.6,1.317,1.237
2021-12-01,2021,12,Dic,lluviosa,NDJ,-1.31,La Nina,Fria moderada,357422.0,358693.0,-1271.0,-0.4,-0.014,0.09
2022-01-01,2022,1,Ene,lluviosa,DJF,-1.46,La Nina,Fria fuerte,421173.0,352355.4,68817.59999999998,19.5,0.923,0.865
2022-02-01,2022,2,Feb,lluviosa,JFM,-1.15,La Nina,Fria debil,335568.0,313571.6,21996.400000000023,7.0,0.312,0.369
2022-03-01,2022,3,Mar,lluviosa,FMA,-1.25,La Nina,Fria moderada,242699.0,216272.8,26426.20000000001,12.2,0.514,0.516
2022-04-01,2022,4,Abr,lluviosa,MAM,-1.27,La Nina,Fria moderada,59913.0,88040.2,-28127.199999999997,-31.9,-0.897,-0.916
2022-05-01,2022,5,May,seca,AMJ,-1.52,La Nina,Fria fuerte,9090.0,20908.04,-11818.04,-56.5,-1.233,-1.433
2022-06-01,2022,6,Jun,seca,MJJ,-1.45,La Nina,Fria fuerte,5797.8,4207.34,1590.46,37.8,0.371,0.736
2022-07-01,2022,7,Jul,seca,JJA,-1.1,La Nina,Fria debil,9249.0,3950.9,5298.1,134.1,1.485,1.173
2022-08-01,2022,8,Ago,seca,JAS,-0.94,Neutral,Neutra,9523.2,9396.460000000001,126.73999999999978,1.3,0.033,0.195
2022-09-01,2022,9,Set,seca,ASO,-1.13,La Nina,Fria debil,47236.0,37120.38,10115.620000000003,27.3,1.19,1.052
2022-10-01,2022,10,Oct,lluviosa,SON,-1.31,La Nina,Fria moderada,124590.0,102961.8,21628.199999999997,21.0,0.745,0.714
2022-11-01,2022,11,Nov,lluviosa,OND,-1.12,La Nina,Fria debil,123369.0,193564.0,-70195.0,-36.3,-0.926,-1.014
2022-12-01,2022,12,Dic,lluviosa,NDJ,-0.72,Neutral,Neutra,440912.0,358693.0,82219.0,22.9,0.923,0.846
2023-01-01,2023,1,Ene,lluviosa,DJF,-0.18,Neutral,Neutra,381429.0,352355.4,29073.599999999977,8.3,0.39,0.433
2023-02-01,2023,2,Feb,lluviosa,JFM,0.47,El Nino,Calida debil,357487.0,313571.6,43915.40000000002,14.0,0.622,0.627
2023-03-01,2023,3,Mar,lluviosa,FMA,1.53,El Nino,Calida moderada,261454.0,216272.8,45181.20000000001,20.9,0.879,0.784
2023-04-01,2023,4,Abr,lluviosa,MAM,2.11,El Nino,Calida fuerte,114104.0,88040.2,26063.800000000003,29.6,0.831,0.858
2023-05-01,2023,5,May,seca,AMJ,2.45,El Nino,Calida fuerte,23565.0,20908.04,2656.959999999999,12.7,0.277,0.422
2023-06-01,2023,6,Jun,seca,MJJ,2.57,El Nino,Calida fuerte,1413.5,4207.34,-2793.84,-66.4,-0.652,-0.687
2023-07-01,2023,7,Jul,seca,JJA,2.92,El Nino,Calida fuerte,1322.7,3950.9,-2628.2,-66.5,-0.737,-0.645
2023-08-01,2023,8,Ago,seca,JAS,2.9,El Nino,Calida fuerte,10324.0,9396.460000000001,927.539999999999,9.9,0.242,0.396
2023-09-01,2023,9,Set,seca,ASO,2.68,El Nino,Calida fuerte,34839.0,37120.38,-2281.3799999999974,-6.1,-0.268,-0.158
2023-10-01,2023,10,Oct,lluviosa,SON,2.27,El Nino,Calida fuerte,92028.0,102961.8,-10933.800000000003,-10.6,-0.377,-0.234
2023-11-01,2023,11,Nov,lluviosa,OND,2.0,El Nino,Calida fuerte,161553.0,193564.0,-32011.0,-16.5,-0.422,-0.313
2023-12-01,2023,12,Dic,lluviosa,NDJ,1.66,El Nino,Calida moderada,435598.0,358693.0,76905.0,21.4,0.863,0.802
2024-01-01,2024,1,Ene,lluviosa,DJF,1.34,El Nino,Calida moderada,406468.0,352355.4,54112.59999999998,15.4,0.726,0.71
2024-02-01,2024,2,Feb,lluviosa,JFM,0.89,El Nino,Calida debil,387135.0,313571.6,73563.40000000002,23.5,1.042,0.951
2024-03-01,2024,3,Mar,lluviosa,FMA,0.39,Neutral,Neutra,207617.0,216272.8,-8655.799999999988,-4.0,-0.168,-0.047
2024-04-01,2024,4,Abr,lluviosa,MAM,-0.37,Neutral,Neutra,126277.0,88040.2,38236.8,43.4,1.219,1.137
2024-05-01,2024,5,May,seca,AMJ,-0.77,Neutral,Neutra,23645.2,20908.04,2737.16,13.1,0.286,0.429
2024-06-01,2024,6,Jun,seca,MJJ,-0.96,Neutral,Neutra,1518.2,4207.34,-2689.1400000000003,-63.9,-0.627,-0.615
2024-07-01,2024,7,Jul,seca,JJA,-0.72,Neutral,Neutra,663.8,3950.9,-3287.1000000000004,-83.2,-0.922,-1.288
