fecha,anio,mes,mes_nombre,temporada,season,valor,fase_enso,categoria,n_rayos_norm,media,anomalia,anomalia_pct,z,z_log
2021-01-01,2021,1,Ene,lluviosa,DJF,-0.78,Neutral,Neutra,336.0,416.8,-80.80000000000001,-19.4,-0.453,-0.286
2021-02-01,2021,2,Feb,lluviosa,JFM,-0.83,Neutral,Neutra,268.0,1339.0,-1071.0,-80.0,-0.875,-1.097
2021-03-01,2021,3,Mar,lluviosa,FMA,-0.85,Neutral,Neutra,4217.0,2793.6,1423.4,51.0,0.578,0.733
2021-04-01,2021,4,Abr,lluviosa,MAM,-0.83,Neutral,Neutra,183.0,4752.8,-4569.8,-96.1,-0.473,-0.672
2021-05-01,2021,5,May,seca,AMJ,-0.7,Neutral,Neutra,149.0,170.32,-21.319999999999993,-12.5,-0.079,0.566
2021-06-01,2021,6,Jun,seca,MJJ,-0.46,Neutral,Neutra,13.0,8.34,4.66,55.9,0.913,0.919
2021-07-01,2021,7,Jul,seca,JJA,-0.29,Neutral,Neutra,30.0,10.42,19.58,187.9,1.693,1.193
2021-08-01,2021,8,Ago,seca,JAS,-0.4,Neutral,Neutra,152.0,38.14,113.86,298.5,1.775,1.369
2021-09-01,2021,9,Set,seca,ASO,-0.62,Neutral,Neutra,157.0,54.56,102.44,187.8,1.735,1.564
2021-10-01,2021,10,Oct,lluviosa,SON,-0.9,Neutral,Neutra,335.0,139.8,195.2,139.6,1.772,1.723
2021-11-01,2021,11,Nov,lluviosa,OND,-1.23,La Nina,Fria moderada,396.0,223.8,172.2,76.9,1.609,1.453
2021-12-01,2021,12,Dic,lluviosa,NDJ,-1.31,La Nina,Fria moderada,402.0,331.0,71.0,21.5,0.449,0.47
2022-01-01,2022,1,Ene,lluviosa,DJF,-1.46,La Nina,Fria fuerte,636.0,416.8,219.2,52.6,1.23,1.079
2022-02-01,2022,2,Feb,lluviosa,JFM,-1.15,La Nina,Fria debil,333.0,1339.0,-1006.0,-75.1,-0.822,-0.897
2022-03-01,2022,3,Mar,lluviosa,FMA,-1.25,La Nina,Fria moderada,909.0,2793.6,-1884.6,-67.5,-0.765,-0.587
2022-04-01,2022,4,Abr,lluviosa,MAM,-1.27,La Nina,Fria moderada,219.0,4752.8,-4533.8,-95.4,-0.469,-0.584
2022-05-01,2022,5,May,seca,AMJ,-1.52,La Nina,Fria fuerte,18.0,170.32,-152.32,-89.4,-0.567,-0.627
2022-06-01,2022,6,Jun,seca,MJJ,-1.45,La Nina,Fria fuerte,14.4,8.34,6.0600000000000005,72.7,1.187,1.083
2022-07-01,2022,7,Jul,seca,JJA,-1.1,La Nina,Fria debil,7.0,10.42,-3.42,-32.8,-0.296,0.112
2022-08-01,2022,8,Ago,seca,JAS,-0.94,Neutral,Neutra,4.1,38.14,-34.04,-89.3,-0.531,-0.465
2022-09-01,2022,9,Set,seca,ASO,-1.13,La Nina,Fria debil,18.0,54.56,-36.56,-67.0,-0.619,-0.781
2022-10-01,2022,10,Oct,lluviosa,SON,-1.31,La Nina,Fria moderada,93.0,139.8,-46.80000000000001,-33.5,-0.425,-0.373
2022-11-01,2022,11,Nov,lluviosa,OND,-1.12,La Nina,Fria debil,236.0,223.8,12.199999999999989,5.5,0.114,0.304
2022-12-01,2022,12,Dic,lluviosa,NDJ,-0.72,Neutral,Neutra,456.0,331.0,125.0,37.8,0.79,0.628
2023-01-01,2023,1,Ene,lluviosa,DJF,-0.18,Neutral,Neutra,558.0,416.8,141.2,33.9,0.792,0.799
2023-02-01,2023,2,Feb,lluviosa,JFM,0.47,El Nino,Calida debil,3096.0,1339.0,1757.0,131.2,1.435,1.163
2023-03-01,2023,3,Mar,lluviosa,FMA,1.53,El Nino,Calida moderada,6313.0,2793.6,3519.4,126.0,1.428,1.08
2023-04-01,2023,4,Abr,lluviosa,MAM,2.11,El Nino,Calida fuerte,22022.0,4752.8,17269.2,363.3,1.787,1.664
2023-05-01,2023,5,May,seca,AMJ,2.45,El Nino,Calida fuerte,640.0,170.32,469.68,275.8,1.749,1.404
2023-06-01,2023,6,Jun,seca,MJJ,2.57,El Nino,Calida fuerte,6.9,8.34,-1.4399999999999995,-17.3,-0.282,-0.063
2023-07-01,2023,7,Jul,seca,JJA,2.92,El Nino,Calida fuerte,10.3,10.42,-0.11999999999999922,-1.2,-0.01,0.387
2023-08-01,2023,8,Ago,seca,JAS,2.9,El Nino,Calida fuerte,15.0,38.14,-23.14,-60.7,-0.361,0.152
2023-09-01,2023,9,Set,seca,ASO,2.68,El Nino,Calida fuerte,28.0,54.56,-26.560000000000002,-48.7,-0.45,-0.313
2023-10-01,2023,10,Oct,lluviosa,SON,2.27,El Nino,Calida fuerte,114.0,139.8,-25.80000000000001,-18.5,-0.234,-0.041
2023-11-01,2023,11,Nov,lluviosa,OND,2.0,El Nino,Calida fuerte,218.0,223.8,-5.800000000000011,-2.6,-0.054,0.128
2023-12-01,2023,12,Dic,lluviosa,NDJ,1.66,El Nino,Calida moderada,428.0,331.0,97.0,29.3,0.613,0.549
2024-01-01,2024,1,Ene,lluviosa,DJF,1.34,El Nino,Calida moderada,359.0,416.8,-57.80000000000001,-13.9,-0.324,-0.144
2024-02-01,2024,2,Feb,lluviosa,JFM,0.89,El Nino,Calida debil,2089.0,1339.0,750.0,56.0,0.613,0.8
2024-03-01,2024,3,Mar,lluviosa,FMA,0.39,Neutral,Neutra,358.0,2793.6,-2435.6,-87.2,-0.989,-1.388
2024-04-01,2024,4,Abr,lluviosa,MAM,-0.37,Neutral,Neutra,201.0,4752.8,-4551.8,-95.8,-0.471,-0.626
2024-05-01,2024,5,May,seca,AMJ,-0.77,Neutral,Neutra,37.6,170.32,-132.72,-77.9,-0.494,-0.218
2024-06-01,2024,6,Jun,seca,MJJ,-0.96,Neutral,Neutra,4.3,8.34,-4.04,-48.4,-0.791,-0.749
2024-07-01,2024,7,Jul,seca,JJA,-0.72,Neutral,Neutra,0.0,10.42,-10.42,-100.0,-0.901,-1.547
2024-08-01,2024,8,Ago,seca,JAS,-0.65,Neutral,Neutra,0.0,38.14,-38.14,-100.0,-0.595,-1.343
2024-09-01,2024,9,Set,seca,ASO,-0.5,Neutral,Neutra,17.0,54.56,-37.56,-68.8,-0.636,-0.841
2024-10-01,2024,10,Oct,lluviosa,SON,-0.34,Neutral,Neutra,85.0,139.8,-54.80000000000001,-39.2,-0.497,-0.519
2024-11-01,2024,11,Nov,lluviosa,OND,-0.1,Neutral,Neutra,138.0,223.8,-85.80000000000001,-38.3,-0.802,-0.885
2024-12-01,2024,12,Dic,lluviosa,NDJ,-0.1,Neutral,Neutra,301.0,331.0,-30.0,-9.1,-0.19,0.106
2025-01-01,2025,1,Ene,lluviosa,DJF,0.07,Neutral,Neutra,195.0,416.8,-221.8,-53.2,-1.245,-1.448
2025-02-01,2025,2,Feb,lluviosa,JFM,0.41,El Nino,Calida debil,909.0,1339.0,-430.0,-32.1,-0.351,0.03
2025-03-01,2025,3,Mar,lluviosa,FMA,0.66,El Nino,Calida debil,2171.0,2793.6,-622.5999999999999,-22.3,-0.253,0.162
2025-04-01,2025,4,Abr,lluviosa,MAM,0.45,El Nino,Calida debil,1139.0,4752.8,-3613.8,-76.0,-0.374,0.218
2025-05-01,2025,5,May,seca,AMJ,0.15,Neutral,Neutra,7.0,170.32,-163.32,-95.9,-0.608,-1.126
2025-06-01,2025,6,Jun,seca,MJJ,0.09,Neutral,Neutra,3.1,8.34,-5.24,-62.8,-1.026,-1.19
2025-07-01,2025,7,Jul,seca,JJA,0.13,Neutral,Neutra,4.8,10.42,-5.62,-53.9,-0.486,-0.145
2025-08-01,2025,8,Ago,seca,JAS,-0.04,Neutral,Neutra,19.6,38.14,-18.54,-48.6,-0.289,0.288
2025-09-01,2025,9,Set,seca,ASO,-0.24,Neutral,Neutra,52.8,54.56,-1.7600000000000051,-3.2,-0.03,0.371
2025-10-01,2025,10,Oct,lluviosa,SON,-0.42,Neutral,Neutra,72.0,139.8,-67.80000000000001,-48.5,-0.615,-0.789
2025-11-01,2025,11,Nov,lluviosa,OND,-0.48,Neutral,Neutra,131.0,223.8,-92.80000000000001,-41.5,-0.867,-1.0
2025-12-01,2025,12,Dic,lluviosa,NDJ,-0.46,Neutral,Neutra,68.0,331.0,-263.0,-79.5,-1.662,-1.753
