lat,lon_w,lon_e,n_puntos,lon_min,lon_max
-19.0,-70.25975,-68.0,61,-71.0,-68.0
-18.75,-70.0984076433121,-68.0,61,-71.0,-68.0
-18.5,-70.09005235602093,-68.0,61,-71.0,-68.0
-18.25,-70.09251497005988,-68.0,61,-71.0,-68.0
-18.0,-70.1533439490446,-68.0,101,-73.0,-68.0
-17.75,-71.10494269340974,-68.0,101,-73.0,-68.0
-17.5,-71.31047297297297,-68.0,101,-73.0,-68.0
-17.25,-71.45162127107653,-68.0,101,-73.0,-68.0
-17.0,-71.51570680628272,-68.0,141,-75.0,-68.0
-16.75,-72.26106060606061,-68.0,141,-75.0,-68.0
-16.5,-72.5514331210191,-68.0,141,-75.0,-68.0
-16.25,-73.32122395833333,-68.0,141,-75.0,-68.0
-16.0,-73.95369967355822,-68.0,161,-76.0,-68.0
-15.75,-74.40164512338426,-68.0,161,-76.0,-68.0
-15.5,-74.54282296650717,-68.14584775086506,161,-76.0,-68.0
-15.25,-74.82843971631205,-68.0,161,-76.0,-68.0
-15.0,-75.2978947368421,-68.0,181,-77.0,-68.0
-14.75,-74.9576388888889,-68.0,181,-77.0,-68.0
-14.5,-75.09392123287671,-68.05433255269321,181,-77.0,-68.0
-14.25,-75.4422558922559,-68.21740638002774,181,-77.0,-68.0
-14.0,-75.62659430122116,-68.39429657794678,181,-77.0,-68.0
-13.75,-75.81551724137931,-68.94106382978724,181,-77.0,-68.0
-13.5,-75.9170168067227,-69.98201219512195,181,-77.0,-68.0
-13.25,-76.06375502008032,-70.82086834733893,181,-77.0,-68.0
-13.0,-76.10896785109983,-71.45574468085107,201,-78.0,-68.0
-12.75,-76.4036231884058,-71.43401122019635,201,-78.0,-68.0
-12.5,-76.62210682492582,-71.38547717842324,201,-78.0,-68.0
-12.25,-76.62148760330578,-71.74983498349835,201,-78.0,-68.0
-12.0,-76.80503472222222,-72.12405523255813,201,-78.0,-68.0
-11.75,-77.0620670995671,-73.39897959183673,201,-78.0,-68.0
-11.5,-76.94792654028436,-73.54269406392694,201,-78.0,-68.0
-11.25,-77.19632516703787,-73.97991071428572,201,-78.0,-68.0
-11.0,-77.39157472417251,-73.83106796116505,221,-79.0,-68.0
-10.75,-77.46741741741742,-74.05458860759494,221,-79.0,-68.0
-10.5,-77.62119565217391,-74.14275147928994,221,-79.0,-68.0
-10.25,-77.84121240601503,-74.2070805043647,221,-79.0,-68.0
-10.0,-77.83541666666666,-74.33181818181818,221,-79.0,-68.0
-9.75,-78.00571658615137,-74.48542319749217,221,-79.0,-68.0
-9.5,-77.99654088050315,-74.56184919210054,221,-79.0,-68.0
-9.25,-78.19086826347306,-74.58186170212765,221,-79.0,-68.0
-9.0,-78.29493670886076,-75.67857142857143,241,-80.0,-68.0
-8.75,-78.32646464646464,-75.75875,241,-80.0,-68.0
-8.5,-78.4585201793722,-75.6872582480091,241,-80.0,-68.0
-8.25,-78.68210862619809,-75.79824355971897,241,-80.0,-68.0
-8.0,-78.95339366515837,-75.84019607843136,241,-80.0,-68.0
-7.75,-78.87613293051359,-76.0894366197183,241,-80.0,-68.0
-7.5,-79.12755834829443,-75.87712585034014,241,-80.0,-68.0
-7.25,-79.04869224062772,-75.94392857142857,241,-80.0,-68.0
-7.0,-79.37023460410558,-75.97076023391813,281,-82.0,-68.0
-6.75,-79.22601260126012,-75.64784366576819,281,-82.0,-68.0
-6.5,-79.35017605633803,-75.97186774941996,281,-82.0,-68.0
-6.25,-79.52244744744745,-76.59816849816849,281,-82.0,-68.0
-6.0,-79.58544061302682,-76.58294509151413,281,-82.0,-68.0
-5.75,-79.66957123098203,-76.73647058823529,281,-82.0,-68.0
-5.5,-79.66539699570816,-77.07367021276595,281,-82.0,-68.0
-5.25,-79.63310669456067,-77.34539295392953,281,-82.0,-68.0
-5.0,-80.0370731707317,-77.73830128205128,281,-82.0,-68.0
-4.75,-80.10866666666666,-78.4143665158371,281,-82.0,-68.0
-4.5,-79.8762048192771,-78.34176755447942,281,-82.0,-68.0
-4.25,-80.73022508038585,-78.0859243697479,281,-82.0,-68.0
-4.0,-80.16459854014599,-78.12239932885906,261,-81.0,-68.0
-3.75,-79.80833333333334,-78.18048780487806,261,-81.0,-68.0
-3.5,-79.71404255319149,-78.11994342291372,261,-81.0,-68.0
-3.25,-79.6797619047619,-78.01639950678175,261,-81.0,-68.0
-3.0,-79.56878980891719,-78.12263157894736,281,-82.0,-68.0
-2.75,-79.53397887323943,-77.93455497382199,281,-82.0,-68.0
-2.5,-79.18702046035806,-77.93172043010753,281,-82.0,-68.0
-2.25,-79.08207985143918,-77.77172965116279,281,-82.0,-68.0
-2.0,-79.18776824034335,-77.79758064516129,281,-82.0,-68.0
-1.75,-79.21245443499393,-78.05,281,-82.0,-68.0
-1.5,-79.25740072202166,-78.03770491803279,281,-82.0,-68.0
-1.25,-79.16218130311616,-77.83888888888889,281,-82.0,-68.0
-1.0,-79.11656441717791,-77.91634517766498,261,-81.0,-68.0
-0.75,-79.09460616438355,-77.57333333333332,261,-81.0,-68.0
-0.5,-79.17718894009217,-77.43995016611296,261,-81.0,-68.0
-0.25,-78.986,-77.4170716112532,261,-81.0,-68.0
0.0,-78.90714285714286,-77.4605,261,-81.0,-68.0
0.25,-78.7340848806366,-77.56791590493602,261,-81.0,-68.0
0.5,-78.95024630541872,-77.26330845771145,261,-81.0,-68.0
0.75,-78.69324853228963,-77.07799097065462,261,-81.0,-68.0
1.0,-78.41713483146069,-76.7289029535865,241,-80.0,-68.0
