anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,310395,31,31,1.0,310395.0
2021,2,280081,28,28,1.0,280081.0
2021,3,240283,31,31,1.0,240283.0
2021,4,83717,30,30,1.0,83717.0
2021,5,34454,31,31,1.0,34454.0
2021,6,11181,30,30,1.0,11181.0
2021,7,5789,30,31,0.9677,5982.0
2021,8,15449,31,31,1.0,15449.0
2021,9,40389,30,30,1.0,40389.0
2021,10,133895,31,31,1.0,133895.0
2021,11,297513,30,30,1.0,297513.0
2021,12,361194,31,31,1.0,361194.0
2022,1,424909,31,31,1.0,424909.0
2022,2,337209,28,28,1.0,337209.0
2022,3,243728,31,31,1.0,243728.0
2022,4,61057,30,30,1.0,61057.0
2022,5,9135,31,31,1.0,9135.0
2022,6,5258,27,30,0.9,5842.2
2022,7,9345,31,31,1.0,9345.0
2022,8,9434,30,31,0.9677,9748.5
2022,9,48433,30,30,1.0,48433.0
2022,10,127099,31,31,1.0,127099.0
2022,11,125720,30,30,1.0,125720.0
2022,12,443825,31,31,1.0,443825.0
2023,1,382746,31,31,1.0,382746.0
2023,2,359875,28,28,1.0,359875.0
2023,3,264209,31,31,1.0,264209.0
2023,4,115870,30,30,1.0,115870.0
2023,5,23788,31,31,1.0,23788.0
2023,6,1247,26,30,0.8667,1438.8
2023,7,1331,30,31,0.9677,1375.4
2023,8,10467,31,31,1.0,10467.0
2023,9,35492,30,30,1.0,35492.0
2023,10,93132,31,31,1.0,93132.0
2023,11,164141,30,30,1.0,164141.0
2023,12,438606,31,31,1.0,438606.0
2024,1,407843,31,31,1.0,407843.0
2024,2,388478,29,29,1.0,388478.0
2024,3,208992,31,31,1.0,208992.0
2024,4,127290,30,30,1.0,127290.0
2024,5,21553,28,31,0.9032,23862.2
2024,6,1456,28,30,0.9333,1560.0
2024,7,626,29,31,0.9355,669.2
2024,8,6375,30,31,0.9677,6587.5
2024,9,40142,30,30,1.0,40142.0
2024,10,107469,31,31,1.0,107469.0
2024,11,257406,30,30,1.0,257406.0
2024,12,339647,31,31,1.0,339647.0
2025,1,245911,31,31,1.0,245911.0
2025,2,211272,28,28,1.0,211272.0
2025,3,132223,31,31,1.0,132223.0
2025,4,57775,30,30,1.0,57775.0
2025,5,14553,31,31,1.0,14553.0
2025,6,1208,29,30,0.9667,1249.7
2025,7,2281,26,31,0.8387,2719.7
2025,8,6145,30,31,0.9677,6349.8
2025,9,23695,29,30,0.9667,24512.1
2025,10,59773,31,31,1.0,59773.0
2025,11,137381,30,30,1.0,137381.0
2025,12,224941,31,31,1.0,224941.0
