anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,319,31,31,1.0,319.0
2021,2,260,28,28,1.0,260.0
2021,3,4161,31,31,1.0,4161.0
2021,4,179,30,30,1.0,179.0
2021,5,148,31,31,1.0,148.0
2021,6,14,30,30,1.0,14.0
2021,7,28,30,31,0.9677,28.9
2021,8,150,31,31,1.0,150.0
2021,9,157,30,30,1.0,157.0
2021,10,330,31,31,1.0,330.0
2021,11,385,30,30,1.0,385.0
2021,12,394,31,31,1.0,394.0
2022,1,624,31,31,1.0,624.0
2022,2,329,28,28,1.0,329.0
2022,3,865,31,31,1.0,865.0
2022,4,214,30,30,1.0,214.0
2022,5,18,31,31,1.0,18.0
2022,6,13,27,30,0.9,14.4
2022,7,7,31,31,1.0,7.0
2022,8,5,30,31,0.9677,5.2
2022,9,17,30,30,1.0,17.0
2022,10,92,31,31,1.0,92.0
2022,11,235,30,30,1.0,235.0
2022,12,446,31,31,1.0,446.0
2023,1,552,31,31,1.0,552.0
2023,2,3076,28,28,1.0,3076.0
2023,3,6292,31,31,1.0,6292.0
2023,4,21846,30,30,1.0,21846.0
2023,5,636,31,31,1.0,636.0
2023,6,6,26,30,0.8667,6.9
2023,7,10,30,31,0.9677,10.3
2023,8,14,31,31,1.0,14.0
2023,9,28,30,30,1.0,28.0
2023,10,115,31,31,1.0,115.0
2023,11,212,30,30,1.0,212.0
2023,12,419,31,31,1.0,419.0
2024,1,348,31,31,1.0,348.0
2024,2,2043,29,29,1.0,2043.0
2024,3,331,31,31,1.0,331.0
2024,4,200,30,30,1.0,200.0
2024,5,35,28,31,0.9032,38.8
2024,6,4,28,30,0.9333,4.3
2024,7,0,29,31,0.9355,0.0
2024,8,0,30,31,0.9677,0.0
2024,9,15,30,30,1.0,15.0
2024,10,86,31,31,1.0,86.0
2024,11,136,30,30,1.0,136.0
2024,12,301,31,31,1.0,301.0
2025,1,183,31,31,1.0,183.0
2025,2,883,28,28,1.0,883.0
2025,3,2130,31,31,1.0,2130.0
2025,4,1120,30,30,1.0,1120.0
2025,5,7,31,31,1.0,7.0
2025,6,3,29,30,0.9667,3.1
2025,7,4,26,31,0.8387,4.8
2025,8,19,30,31,0.9677,19.6
2025,9,52,29,30,0.9667,53.8
2025,10,73,31,31,1.0,73.0
2025,11,130,30,30,1.0,130.0
2025,12,68,31,31,1.0,68.0
