year,season,season_idx,indice,valor,phase,categoria,oni
2021,DJF,1,nino12,-0.78,Neutral,Neutra,-0.78
2021,JFM,2,nino12,-0.83,Neutral,Neutra,-0.83
2021,FMA,3,nino12,-0.85,Neutral,Neutra,-0.85
2021,MAM,4,nino12,-0.83,Neutral,Neutra,-0.83
2021,AMJ,5,nino12,-0.7,Neutral,Neutra,-0.7
2021,MJJ,6,nino12,-0.46,Neutral,Neutra,-0.46
2021,JJA,7,nino12,-0.29,Neutral,Neutra,-0.29
2021,JAS,8,nino12,-0.4,Neutral,Neutra,-0.4
2021,ASO,9,nino12,-0.62,Neutral,Neutra,-0.62
2021,SON,10,nino12,-0.9,Neutral,Neutra,-0.9
2021,OND,11,nino12,-1.23,La Nina,Fria moderada,-1.23
2021,NDJ,12,nino12,-1.31,La Nina,Fria moderada,-1.31
2022,DJF,1,nino12,-1.46,La Nina,Fria fuerte,-1.46
2022,JFM,2,nino12,-1.15,La Nina,Fria debil,-1.15
2022,FMA,3,nino12,-1.25,La Nina,Fria moderada,-1.25
2022,MAM,4,nino12,-1.27,La Nina,Fria moderada,-1.27
2022,AMJ,5,nino12,-1.52,La Nina,Fria fuerte,-1.52
2022,MJJ,6,nino12,-1.45,La Nina,Fria fuerte,-1.45
2022,JJA,7,nino12,-1.1,La Nina,Fria debil,-1.1
2022,JAS,8,nino12,-0.94,Neutral,Neutra,-0.94
2022,ASO,9,nino12,-1.13,La Nina,Fria debil,-1.13
2022,SON,10,nino12,-1.31,La Nina,Fria moderada,-1.31
2022,OND,11,nino12,-1.12,La Nina,Fria debil,-1.12
2022,NDJ,12,nino12,-0.72,Neutral,Neutra,-0.72
2023,DJF,1,nino12,-0.18,Neutral,Neutra,-0.18
2023,JFM,2,nino12,0.47,El Nino,Calida debil,0.47
2023,FMA,3,nino12,1.53,El Nino,Calida moderada,1.53
2023,MAM,4,nino12,2.11,El Nino,Calida fuerte,2.11
2023,AMJ,5,nino12,2.45,El Nino,Calida fuerte,2.45
2023,MJJ,6,nino12,2.57,El Nino,Calida fuerte,2.57
2023,JJA,7,nino12,2.92,El Nino,Calida fuerte,2.92
2023,JAS,8,nino12,2.9,El Nino,Calida fuerte,2.9
2023,ASO,9,nino12,2.68,El Nino,Calida fuerte,2.68
2023,SON,10,nino12,2.27,El Nino,Calida fuerte,2.27
2023,OND,11,nino12,2.0,El Nino,Calida fuerte,2.0
2023,NDJ,12,nino12,1.66,El Nino,Calida moderada,1.66
2024,DJF,1,nino12,1.34,El Nino,Calida moderada,1.34
2024,JFM,2,nino12,0.89,El Nino,Calida debil,0.89
2024,FMA,3,nino12,0.39,Neutral,Neutra,0.39
2024,MAM,4,nino12,-0.37,Neutral,Neutra,-0.37
2024,AMJ,5,nino12,-0.77,Neutral,Neutra,-0.77
2024,MJJ,6,nino12,-0.96,Neutral,Neutra,-0.96
2024,JJA,7,nino12,-0.72,Neutral,Neutra,-0.72
2024,JAS,8,nino12,-0.65,Neutral,Neutra,-0.65
2024,ASO,9,nino12,-0.5,Neutral,Neutra,-0.5
2024,SON,10,nino12,-0.34,Neutral,Neutra,-0.34
2024,OND,11,nino12,-0.1,Neutral,Neutra,-0.1
2024,NDJ,12,nino12,-0.1,Neutral,Neutra,-0.1
2025,DJF,1,nino12,0.07,Neutral,Neutra,0.07
2025,JFM,2,nino12,0.41,El Nino,Calida debil,0.41
2025,FMA,3,nino12,0.66,El Nino,Calida debil,0.66
2025,MAM,4,nino12,0.45,El Nino,Calida debil,0.45
2025,AMJ,5,nino12,0.15,Neutral,Neutra,0.15
2025,MJJ,6,nino12,0.09,Neutral,Neutra,0.09
2025,JJA,7,nino12,0.13,Neutral,Neutra,0.13
2025,JAS,8,nino12,-0.04,Neutral,Neutra,-0.04
2025,ASO,9,nino12,-0.24,Neutral,Neutra,-0.24
2025,SON,10,nino12,-0.42,Neutral,Neutra,-0.42
2025,OND,11,nino12,-0.48,Neutral,Neutra,-0.48
2025,NDJ,12,nino12,-0.46,Neutral,Neutra,-0.46
