lat,lon,elev_m
-18.0,-72,-2480
-18.0,-71.5,-1049
-18.0,-71,-178
-18.0,-70.5,325
-18.0,-70,2068
-18.0,-69.5,4124
-18.0,-69,5101
-18.0,-68.5,4243
-16.0,-76,-3779
-16.0,-75.5,-5880
-16.0,-75,-3257
-16.0,-74.5,-1097
-16.0,-74,142
-16.0,-73.5,1798
-16.0,-73,1637
-16.0,-72.5,847
-16.0,-72,3529
-16.0,-71.5,4512
-16.0,-71,4550
-16.0,-70.5,4377
-16.0,-70,3902
-16.0,-69.5,3821
-16.0,-69,3815
-16.0,-68.5,4789
-14.5,-76,-30
-14.5,-75.5,377
-14.5,-75,1817
-14.5,-74.5,4041
-14.5,-74,4368
-14.5,-73.5,4525
-14.5,-73,4708
-14.5,-72.5,4798
-14.5,-72,4256
-14.5,-71.5,4030
-14.5,-71,4901
-14.5,-70.5,4074
-14.5,-70,4609
-14.5,-69.5,4465
-13.0,-78,-3441
-13.0,-77.5,-1522
-13.0,-77,-497
-13.0,-76.5,-1
-13.0,-76,3049
-13.0,-75.5,4329
-13.0,-75,4680
-13.0,-74.5,3695
-13.0,-74,3335
-13.0,-73.5,774
-13.0,-73,3775
-13.0,-72.5,2126
-13.0,-72,3535
-13.0,-71.5,1251
-13.0,-71,795
-13.0,-70.5,433
-10.5,-79,-1236
-10.5,-78.5,-300
-10.5,-78,-67
-10.5,-77.5,1653
-10.5,-77,4085
-10.5,-76.5,3806
-10.5,-76,4573
-10.5,-75.5,2228
-10.5,-75,939
-10.5,-74.5,1149
-10.5,-74,195
-10.5,-73.5,341
-10.5,-73,316
-10.5,-72.5,407
-9.0,-79,-94
-9.0,-78.5,167
-9.0,-78,3627
-9.0,-77.5,3511
-9.0,-77,3158
-9.0,-76.5,2141
-9.0,-76,1022
-9.0,-75.5,283
-9.0,-75,224
-9.0,-74.5,160
-8.0,-80,-146
-8.0,-79.5,-70
-8.0,-79,390
-8.0,-78.5,2958
-8.0,-78,4019
-8.0,-77.5,3086
-8.0,-77,2364
-8.0,-76.5,1167
-8.0,-76,1003
-8.0,-75.5,273
-8.0,-75,164
-8.0,-74.5,157
-8.0,-74,258
-8.0,-73.5,271
-8.0,-73,230
-6.5,-81,-491
-6.5,-80.5,-17
-6.5,-80,24
-6.5,-79.5,470
-6.5,-79,2103
-6.5,-78.5,2668
-6.5,-78,3570
-6.5,-77.5,1683
-6.5,-77,1126
-6.5,-76.5,310
-6.5,-76,1260
-6.5,-75.5,250
-6.5,-75,135
-6.5,-74.5,172
-5.0,-81,90
-5.0,-80.5,148
-5.0,-80,1494
-5.0,-79.5,2810
-5.0,-79,880
-5.0,-78.5,1066
-5.0,-78,280
-5.0,-77.5,528
-5.0,-77,145
-5.0,-76.5,127
-5.0,-76,132
-5.0,-75.5,127
-5.0,-75,120
-5.0,-74.5,120
-2.0,-81,-62
-2.0,-80.5,100
-2.0,-80,5
-2.0,-79.5,20
-2.0,-79,2341
-2.0,-78.5,3881
-2.0,-78,1006
-2.0,-77.5,466
-2.0,-77,341
-2.0,-76.5,226
-2.0,-76,215
-2.0,-75.5,204
-2.0,-75,170
-2.0,-74.5,152
