lat,lon,elev_m
-19.0,-82.0,-4242.0
-19.0,-81.9,-4179.0
-19.0,-81.8,-4138.0
-19.0,-81.7,-4158.0
-19.0,-81.6,-4128.0
-19.0,-81.5,-4260.0
-19.0,-81.4,-4286.0
-19.0,-81.3,-4342.0
-19.0,-81.2,-4272.0
-19.0,-81.1,-4113.0
-19.0,-81.0,-4065.0
-19.0,-80.9,-3863.0
-19.0,-80.8,-3576.0
-19.0,-80.7,-3877.0
-19.0,-80.6,-3819.0
-19.0,-80.5,-3837.0
-19.0,-80.4,-3789.0
-19.0,-80.3,-3461.0
-19.0,-80.2,-3514.0
-19.0,-80.1,-3383.0
-19.0,-80.0,-3387.0
-19.0,-79.9,-3224.0
-19.0,-79.8,-3334.0
-19.0,-79.7,-3257.0
-19.0,-79.6,-3255.0
-19.0,-79.5,-3232.0
-19.0,-79.4,-3310.0
-19.0,-79.3,-3157.0
-19.0,-79.2,-3178.0
-19.0,-79.1,-3436.0
-19.0,-79.0,-3705.0
-19.0,-78.9,-3861.0
-19.0,-78.8,-3923.0
-19.0,-78.7,-4054.0
-19.0,-78.6,-4051.0
-19.0,-78.5,-4056.0
-19.0,-78.4,-4149.0
-19.0,-78.3,-4339.0
-19.0,-78.2,-4117.0
-19.0,-78.1,-4231.0
-19.0,-78.0,-4291.0
-19.0,-77.9,-4238.0
-19.0,-77.8,-4303.0
-19.0,-77.7,-4247.0
-19.0,-77.6,-4515.0
-19.0,-77.5,-4333.0
-19.0,-77.4,-4328.0
-19.0,-77.3,-4576.0
-19.0,-77.2,-4573.0
-19.0,-77.1,-4484.0
-19.0,-77.0,-4535.0
-19.0,-76.9,-4477.0
-19.0,-76.8,-4457.0
-19.0,-76.7,-4595.0
-19.0,-76.6,-4674.0
-19.0,-76.5,-4633.0
-19.0,-76.4,-4329.0
-19.0,-76.3,-4606.0
-19.0,-76.2,-4779.0
-19.0,-76.1,-4599.0
-19.0,-76.0,-4673.0
-19.0,-75.9,-4398.0
-19.0,-75.8,-4406.0
-19.0,-75.7,-4177.0
-19.0,-75.6,-4177.0
-19.0,-75.5,-4522.0
-19.0,-75.4,-4923.0
-19.0,-75.3,-4638.0
-19.0,-75.2,-4410.0
-19.0,-75.1,-4588.0
-19.0,-75.0,-4587.0
-19.0,-74.9,-4705.0
-19.0,-74.8,-4711.0
-19.0,-74.7,-4822.0
-19.0,-74.6,-4704.0
-19.0,-74.5,-4718.0
-19.0,-74.4,-4596.0
-19.0,-74.3,-4674.0
-19.0,-74.2,-4816.0
-19.0,-74.1,-4697.0
-19.0,-74.0,-4709.0
-19.0,-73.9,-4584.0
-19.0,-73.8,-4730.0
-19.0,-73.7,-4594.0
-19.0,-73.6,-4457.0
-19.0,-73.5,-4329.0
-19.0,-73.4,-4521.0
-19.0,-73.3,-4518.0
-19.0,-73.2,-4379.0
-19.0,-73.1,-4373.0
-19.0,-73.0,-4218.0
-19.0,-72.9,-4154.0
-19.0,-72.8,-4136.0
-19.0,-72.7,-4126.0
-19.0,-72.6,-4044.0
-19.0,-72.5,-4337.0
-19.0,-72.4,-4655.0
-19.0,-72.3,-5031.0
-19.0,-72.2,-5445.0
-19.0,-72.1,-6024.0
-19.0,-72.0,-6563.0
-19.0,-71.9,-6914.0
-19.0,-71.8,-6210.0
-19.0,-71.7,-5114.0
-19.0,-71.6,-4283.0
-19.0,-71.5,-3541.0
-19.0,-71.4,-3005.0
-19.0,-71.3,-2822.0
-19.0,-71.2,-2625.0
-19.0,-71.1,-2338.0
-19.0,-71.0,-1879.0
-19.0,-70.9,-1601.0
-19.0,-70.8,-1552.0
-19.0,-70.7,-1445.0
-19.0,-70.6,-1251.0
-19.0,-70.5,-995.0
-19.0,-70.4,-267.0
-19.0,-70.3,787.0
-19.0,-70.2,1037.0
-19.0,-70.1,1120.0
-19.0,-70.0,1361.0
-19.0,-69.9,911.0
-19.0,-69.8,1508.0
-19.0,-69.7,2084.0
-19.0,-69.6,2590.0
-19.0,-69.5,3244.0
-19.0,-69.4,3768.0
-19.0,-69.3,3847.0
-19.0,-69.2,4073.0
-19.0,-69.1,4818.0
-19.0,-69.0,4729.0
-19.0,-68.9,4304.0
-19.0,-68.8,4465.0
-19.0,-68.7,3947.0
-19.0,-68.6,4228.0
-19.0,-68.5,3753.0
-19.0,-68.4,4148.0
-19.0,-68.3,3693.0
-19.0,-68.2,3683.0
-19.0,-68.1,3680.0
-19.0,-68.0,3678.0
-18.75,-82.0,-4529.0
-18.75,-81.9,-4564.0
-18.75,-81.8,-4203.0
-18.75,-81.7,-4288.0
-18.75,-81.6,-4258.0
-18.75,-81.5,-4290.0
-18.75,-81.4,-4296.0
-18.75,-81.3,-4368.0
-18.75,-81.2,-4353.0
-18.75,-81.1,-4028.0
-18.75,-81.0,-4136.0
-18.75,-80.9,-4122.0
-18.75,-80.8,-4071.0
-18.75,-80.7,-4071.0
-18.75,-80.6,-3949.0
-18.75,-80.5,-3862.0
-18.75,-80.4,-3786.0
-18.75,-80.3,-3832.0
-18.75,-80.2,-3880.0
-18.75,-80.1,-3634.0
-18.75,-80.0,-3664.0
-18.75,-79.9,-3508.0
-18.75,-79.8,-3512.0
-18.75,-79.7,-3167.0
-18.75,-79.6,-3034.0
-18.75,-79.5,-3000.0
-18.75,-79.4,-3284.0
-18.75,-79.3,-2980.0
-18.75,-79.2,-2985.0
-18.75,-79.1,-3278.0
-18.75,-79.0,-3526.0
-18.75,-78.9,-3401.0
-18.75,-78.8,-3715.0
-18.75,-78.7,-3729.0
-18.75,-78.6,-3921.0
-18.75,-78.5,-4136.0
-18.75,-78.4,-4214.0
-18.75,-78.3,-3991.0
-18.75,-78.2,-4290.0
-18.75,-78.1,-4316.0
-18.75,-78.0,-4233.0
-18.75,-77.9,-4166.0
-18.75,-77.8,-4291.0
-18.75,-77.7,-4251.0
-18.75,-77.6,-4182.0
-18.75,-77.5,-4042.0
-18.75,-77.4,-4448.0
-18.75,-77.3,-4503.0
-18.75,-77.2,-4275.0
-18.75,-77.1,-4425.0
-18.75,-77.0,-4492.0
-18.75,-76.9,-4512.0
-18.75,-76.8,-4483.0
-18.75,-76.7,-4576.0
-18.75,-76.6,-4483.0
-18.75,-76.5,-4703.0
-18.75,-76.4,-4466.0
-18.75,-76.3,-4843.0
-18.75,-76.2,-4593.0
-18.75,-76.1,-4695.0
-18.75,-76.0,-4539.0
-18.75,-75.9,-4498.0
-18.75,-75.8,-4579.0
-18.75,-75.7,-4641.0
-18.75,-75.6,-4524.0
-18.75,-75.5,-4455.0
-18.75,-75.4,-4242.0
-18.75,-75.3,-4242.0
-18.75,-75.2,-4640.0
-18.75,-75.1,-5186.0
-18.75,-75.0,-4633.0
-18.75,-74.9,-4654.0
-18.75,-74.8,-4599.0
-18.75,-74.7,-4562.0
-18.75,-74.6,-4476.0
-18.75,-74.5,-4548.0
-18.75,-74.4,-4595.0
-18.75,-74.3,-4562.0
-18.75,-74.2,-4651.0
-18.75,-74.1,-4544.0
-18.75,-74.0,-4391.0
-18.75,-73.9,-4640.0
-18.75,-73.8,-4515.0
-18.75,-73.7,-4468.0
-18.75,-73.6,-4560.0
-18.75,-73.5,-4448.0
-18.75,-73.4,-4724.0
-18.75,-73.3,-4746.0
-18.75,-73.2,-4884.0
-18.75,-73.1,-4660.0
-18.75,-73.0,-4343.0
-18.75,-72.9,-4169.0
-18.75,-72.8,-4120.0
-18.75,-72.7,-4276.0
-18.75,-72.6,-4768.0
-18.75,-72.5,-5003.0
-18.75,-72.4,-5232.0
-18.75,-72.3,-6146.0
-18.75,-72.2,-6793.0
-18.75,-72.1,-6852.0
-18.75,-72.0,-5841.0
-18.75,-71.9,-4976.0
-18.75,-71.8,-4575.0
-18.75,-71.7,-3637.0
-18.75,-71.6,-3395.0
-18.75,-71.5,-3365.0
-18.75,-71.4,-2749.0
-18.75,-71.3,-1611.0
-18.75,-71.2,-1602.0
-18.75,-71.1,-1600.0
-18.75,-71.0,-1564.0
-18.75,-70.9,-1431.0
-18.75,-70.8,-1430.0
-18.75,-70.7,-1359.0
-18.75,-70.6,-1207.0
-18.75,-70.5,-612.0
-18.75,-70.4,-221.0
-18.75,-70.3,618.0
-18.75,-70.2,736.0
-18.75,-70.1,995.0
-18.75,-70.0,1309.0
-18.75,-69.9,1609.0
-18.75,-69.8,1921.0
-18.75,-69.7,2425.0
-18.75,-69.6,3159.0
-18.75,-69.5,3777.0
-18.75,-69.4,3999.0
-18.75,-69.3,4175.0
-18.75,-69.2,4465.0
-18.75,-69.1,4351.0
-18.75,-69.0,4924.0
-18.75,-68.9,4341.0
-18.75,-68.8,4111.0
-18.75,-68.7,4231.0
-18.75,-68.6,3817.0
-18.75,-68.5,3765.0
-18.75,-68.4,3748.0
-18.75,-68.3,3892.0
-18.75,-68.2,3722.0
-18.75,-68.1,3713.0
-18.75,-68.0,3735.0
-18.5,-82.0,-4405.0
-18.5,-81.9,-4520.0
-18.5,-81.8,-4401.0
-18.5,-81.7,-4596.0
-18.5,-81.6,-4560.0
-18.5,-81.5,-4416.0
-18.5,-81.4,-4370.0
-18.5,-81.3,-4382.0
-18.5,-81.2,-4526.0
-18.5,-81.1,-4534.0
-18.5,-81.0,-4487.0
-18.5,-80.9,-4203.0
-18.5,-80.8,-4253.0
-18.5,-80.7,-4186.0
-18.5,-80.6,-4275.0
-18.5,-80.5,-4170.0
-18.5,-80.4,-4109.0
-18.5,-80.3,-4140.0
-18.5,-80.2,-4042.0
-18.5,-80.1,-3819.0
-18.5,-80.0,-3532.0
-18.5,-79.9,-3642.0
-18.5,-79.8,-3308.0
-18.5,-79.7,-3133.0
-18.5,-79.6,-3108.0
-18.5,-79.5,-3101.0
-18.5,-79.4,-3065.0
