anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,782483,31,31,1.0,782483.0
2021,2,1227242,28,28,1.0,1227242.0
2021,3,1165771,31,31,1.0,1165771.0
2021,4,353224,30,30,1.0,353224.0
2021,5,176068,31,31,1.0,176068.0
2021,6,122550,30,30,1.0,122550.0
2021,7,54793,31,31,1.0,54793.0
2021,8,260017,31,31,1.0,260017.0
2021,9,323891,30,30,1.0,323891.0
2021,10,678596,31,31,1.0,678596.0
2021,11,1387694,30,30,1.0,1387694.0
2021,12,1403878,31,31,1.0,1403878.0
2022,1,1507103,31,31,1.0,1507103.0
2022,2,1336139,28,28,1.0,1336139.0
2022,3,1218368,31,31,1.0,1218368.0
2022,4,483205,30,30,1.0,483205.0
2022,5,95999,31,31,1.0,95999.0
2022,6,86407,30,30,1.0,86407.0
2022,7,161712,31,31,1.0,161712.0
2022,8,174513,31,31,1.0,174513.0
2022,9,473465,30,30,1.0,473465.0
2022,10,1151119,31,31,1.0,1151119.0
2022,11,1240680,30,30,1.0,1240680.0
2022,12,1526358,31,31,1.0,1526358.0
2023,1,1236734,31,31,1.0,1236734.0
2023,2,1113372,28,28,1.0,1113372.0
2023,3,1486398,31,31,1.0,1486398.0
2023,4,939279,30,30,1.0,939279.0
2023,5,261867,31,31,1.0,261867.0
2023,6,57205,29,30,0.9667,59177.6
2023,7,72412,31,31,1.0,72412.0
2023,8,132074,31,31,1.0,132074.0
2023,9,394158,30,30,1.0,394158.0
2023,10,857078,31,31,1.0,857078.0
2023,11,1170755,30,30,1.0,1170755.0
2023,12,1017604,31,31,1.0,1017604.0
2024,1,1179699,31,31,1.0,1179699.0
2024,2,1780972,29,29,1.0,1780972.0
2024,3,1164087,31,31,1.0,1164087.0
2024,4,678590,30,30,1.0,678590.0
2024,5,149533,30,31,0.9677,154517.4
2024,6,72780,29,30,0.9667,75289.7
2024,7,48323,30,31,0.9677,49933.8
2024,8,188448,31,31,1.0,188448.0
2024,9,386609,30,30,1.0,386609.0
2024,10,749131,31,31,1.0,749131.0
2024,11,1287975,30,30,1.0,1287975.0
2024,12,1134390,31,31,1.0,1134390.0
2025,1,941617,31,31,1.0,941617.0
2025,2,762417,28,28,1.0,762417.0
2025,3,958673,31,31,1.0,958673.0
2025,4,546132,30,30,1.0,546132.0
2025,5,126578,31,31,1.0,126578.0
2025,6,57622,30,30,1.0,57622.0
2025,7,27063,31,31,1.0,27063.0
2025,8,116596,31,31,1.0,116596.0
2025,9,273197,29,30,0.9667,282617.6
2025,10,519078,31,31,1.0,519078.0
2025,11,750503,30,30,1.0,750503.0
2025,12,1134880,31,31,1.0,1134880.0
